origin,data_replica,event_id,relative_k_fro_change_layer_median,relative_k_fro_change_layer_mean,relative_k_fro_change_layer_p90,relative_k_fro_change_layer_max,relative_a_fro_change_layer_median,relative_a_fro_change_layer_mean,relative_a_fro_change_layer_p90,relative_a_fro_change_layer_max,relative_runtime_inverse_fro_change_layer_median,relative_runtime_inverse_fro_change_layer_mean,relative_runtime_inverse_fro_change_layer_p90,relative_runtime_inverse_fro_change_layer_max,condition_proxy_after_layer_median,condition_proxy_after_layer_mean,condition_proxy_after_layer_p90,condition_proxy_after_layer_max,runtime_resolvent_relative_residual_layer_median,runtime_resolvent_relative_residual_layer_mean,runtime_resolvent_relative_residual_layer_p90,runtime_resolvent_relative_residual_layer_max,matched_g_preconditioned_relative_change_layer_median,matched_g_preconditioned_relative_change_layer_mean,matched_g_preconditioned_relative_change_layer_p90,matched_g_preconditioned_relative_change_layer_max,runtime_ns5_update_relative_change_layer_median,runtime_ns5_update_relative_change_layer_mean,runtime_ns5_update_relative_change_layer_p90,runtime_ns5_update_relative_change_layer_max,matched_g_preconditioned_pooled_fro_ratio,matched_g_preconditioned_pooled_cosine,runtime_ns5_update_pooled_fro_ratio,runtime_ns5_update_pooled_cosine,oriented_endpoint_loss_harm,oriented_auc_harm
early_newton_full,5,production_refresh_32,0.3277204881825403,0.38245139077652207,0.5895294264275204,0.6286488118363,0.33227226511086844,0.3845889661144234,0.5900575326557165,0.6286875248113917,0.7186441797647592,0.6909380963761422,0.7454460814847578,0.7487701089478844,2145.4919856120305,3653.4241853897893,8562.757785951822,13669.6694887909,0.0005865007634277889,0.0008086654209688983,0.0013440976720145424,0.002625941960299745,0.8562968589376809,0.8549863314867054,0.8706882533888842,0.8761982650217428,0.5621095400886441,0.5591206663387103,0.5937602460960376,0.5995785569195543,0.8414076060746385,0.7613507596992266,0.5599707770935881,0.8427695375772529,0.006641360284004749,0.003616962496121978
early_newton_full,5,delayed_refresh_64,0.3404092319702952,0.3980786210226459,0.5966940897014635,0.6570385931367213,0.3450842797298377,0.4002866068740222,0.5974151129173323,0.6570748069180202,0.7231316158027243,0.6970079301615957,0.7491670117093678,0.7523515898117085,2164.9139032793587,3699.3165873994667,8697.693259145502,13834.352796108351,0.0005941667409606765,0.000799008806066214,0.0011896172203751526,0.0026007964330147368,0.8572095030379587,0.8539718135026795,0.8708195198285678,0.8763877280964869,0.5425177690432961,0.5383696126616768,0.5696348361251821,0.5749988000760241,0.8377565921353834,0.7792518396818175,0.5390647105995108,0.8543895091914276,0.002832415347565842,0.0015447509902828394
late_muon,3,production_refresh_32,0.39027040472077923,0.4035117778566326,0.6677261689658431,0.9190883772051113,0.4033263182169394,0.4082729666256546,0.6677460071032799,0.9191011469604732,0.7604101406667635,0.6716722901962419,0.802944743402925,0.8060218415316812,1825.1261989017562,5368.135381074243,13368.589865026144,25745.141683947517,0.0004182696687970933,0.0014473694856755625,0.0023182300813057465,0.012892672709113536,0.8248702474601453,0.7539276541571553,0.8537782796791652,0.8541923758408542,0.5355653344714759,0.47799603207642366,0.5515858889932574,0.553741439633942,0.720290385729535,0.8669899658358289,0.4918082354862394,0.879003739415626,0.0030892071180987912,0.0016037027032547169
late_muon,3,delayed_refresh_64,0.4004372817875895,0.4171261288984856,0.6986362817829117,0.8782011353765868,0.4138912020853044,0.4219058301588061,0.6986461609800874,0.8782179120375425,0.7625908302633623,0.676183339534584,0.8052568237688479,0.8088481526499498,1834.399643334925,5380.408558006588,13398.923665748589,25691.121034373682,0.00041568260840175737,0.0012473061714402779,0.002072207501185519,0.00993254606471176,0.8263813403306285,0.7599421695178321,0.8559721903305129,0.8568120428377223,0.5237058590956736,0.4696028224527379,0.5399616170347352,0.5410539705606036,0.7309430927705274,0.8639177966719014,0.4827693732435321,0.8833862127964466,0.0017107134993472606,0.0008969045019442401
late_muon,4,production_refresh_32,0.3752249771317271,0.38665251735291706,0.6416320235201665,0.9777868573440557,0.38281735732174904,0.3908238011126251,0.6416044839479897,0.9778146489886724,0.757957136236455,0.6782360609640979,0.7960265397588149,0.7963891320261254,1701.3151646751687,5056.588683807671,11924.5106264809,25379.199941240673,0.00042283547628318426,0.001379689979192909,0.002219503501900463,0.01185136264035213,0.8316118978190579,0.7709142984412335,0.8523591718870587,0.8578910993153694,0.540844197182954,0.4895983477142599,0.5576463805157701,0.5637559384339247,0.7286784304500659,0.8580725733575508,0.5014012147236573,0.8742768605103145,0.003162005080113328,0.0016576624626867265
late_muon,4,delayed_refresh_64,0.40769079089565063,0.45494283263737373,0.6955135822683985,1.709021214314041,0.41952610532479273,0.459245198131515,0.6955043807538935,1.7087321751825801,0.7674095183889162,0.6900747921855459,0.802778546231725,0.8036754051310201,1671.8129289470148,5105.498691198382,11513.914223458933,25263.98564323678,0.0004473123009487337,0.0014692954836032892,0.0026802934228633665,0.012514003908011603,0.8369254567001508,0.7798176504237708,0.8579390361007712,0.8601673357858821,0.5383231665158434,0.4908955177415495,0.5556636567709469,0.5596008642012403,0.7434996719720549,0.8542675685950277,0.5021525215820144,0.8738599292700165,0.0018679921911735065,0.0009723879792948864
late_muon,5,production_refresh_32,0.31693458738476465,0.30251420586353217,0.48223701434328237,0.5605574182093211,0.3226913592137744,0.3055050151855299,0.48248593000790985,0.5606382615032739,0.7373251742722609,0.6658093279157258,0.7887973131546473,0.7942590719075721,2848.677380782131,5487.001195738424,11287.108462995036,25385.043800778454,0.0004533116840870804,0.0014957286987127803,0.002391019473402113,0.012634849429134443,0.8139070817842293,0.7638113226003324,0.8474076731160738,0.8496107996858218,0.5202017354998152,0.4789053651282677,0.5451297625929614,0.5471611566245438,0.7298443671900345,0.853937879649051,0.48936257919486675,0.8802149800790204,0.002929077604855168,0.0015290673147498879
late_muon,5,delayed_refresh_64,0.3300159100962903,0.3139130612518994,0.4981478479956285,0.6219736118665381,0.3362948281065423,0.31707944226700835,0.4983791613930526,0.6220358892051521,0.7432191035249037,0.6723346840770392,0.7960677072353777,0.7987450003493007,2879.5566587272597,5440.0385842792,11031.04502315231,25302.3516860765,0.0004383360754492007,0.001467370167605138,0.002403938400873352,0.012418311433880785,0.8198530819030871,0.7717823608806385,0.8529104605138675,0.8554488655850931,0.5122143408294244,0.47240860648408517,0.5371817299684006,0.538452796365079,0.7442154464976207,0.8470262843802305,0.48260538007184756,0.8834406986578024,0.0017544080844202892,0.000920196946657903
late_newton_full,3,production_refresh_32,0.5137643825579642,0.4183180026862787,0.7573858525187781,0.8333981761292957,0.5158151193856677,0.41908182199804084,0.7576978091482646,0.8333975723470048,0.6422523046461255,0.5771687471832113,0.7415296104539275,0.749180868478072,4979.108566188451,9132.15297690669,21357.405637179618,25464.610756458897,0.0007826117820824611,0.0017525447334863092,0.005822062979321513,0.006321594467313202,0.7962076879345001,0.7274721026397446,0.8441299618380311,0.8513736384733239,0.5000464445002093,0.45397243113521846,0.5534534496011823,0.5572625750824155,0.7290108356449077,0.8410304566703478,0.46964041889237307,0.8895718042936926,0.003444797963703339,0.0018365759900145218
late_newton_full,3,delayed_refresh_64,0.49552622767214605,0.416160442439208,0.7326006660838947,0.8735559353366478,0.4966626509425801,0.4169083116899651,0.7327179198552696,0.8735551968602943,0.6421182636879199,0.5796525024145591,0.7408742749206825,0.7485419530120353,5002.46702195659,9136.435918908812,21343.40996058039,25439.466636681296,0.0007787962247998054,0.0018848711165510403,0.00631428874616034,0.00840006291455907,0.7878847023415794,0.7232267106462177,0.842191897512065,0.8538337029712916,0.4811567322122867,0.4355531930487156,0.5285522808550576,0.5337702388330094,0.7302872788660852,0.846623138404089,0.45014013554937493,0.8985300966744936,0.0020930295179102387,0.0011139940176745355
late_newton_full,4,production_refresh_32,0.47735573153036637,0.40500660027243063,0.7357766894431967,0.8724422428451326,0.47864383155176254,0.40578538748218723,0.7357942633239838,0.8724467629995668,0.6396631280095637,0.5797892516535958,0.7447834922341543,0.7475111893435492,4787.464361988389,9061.503579561308,21121.796867882273,25542.76904696085,0.0007931419518734872,0.0017814884282187715,0.006221809654964692,0.0070787139825943465,0.7924309943159966,0.7379605919234009,0.8517057227586988,0.8550042657622413,0.5011594139436584,0.4582339594844178,0.5573514907780728,0.5642821956367746,0.7404273551252618,0.8264437094055521,0.47443457464585914,0.8873018055890904,0.0036706714251613093,0.0019357349355004771
late_newton_full,4,delayed_refresh_64,0.49755348465374605,0.43989694915797173,0.7540123707781421,1.1221348723075588,0.499737543173833,0.4406692603040372,0.7540829565999614,1.1221156681310855,0.6506271853109609,0.589369212159651,0.750623005077641,0.7513094232909884,4745.525363774655,9045.906201351101,20986.57363146271,25484.58072878217,0.0008375719529007761,0.001828443033746184,0.005976767753543502,0.007912374917486099,0.799128151705522,0.7448507976583142,0.8583140211597227,0.8608529030285095,0.49217318903740154,0.4499008796717757,0.5459151807721954,0.5480011057650459,0.7483273479507597,0.8270799601134005,0.4652550985213431,0.8915880551631062,0.002256427198858324,0.0012012874180813427
late_newton_full,5,production_refresh_32,0.3581823662433221,0.3640546016076388,0.7471731282152005,0.7894277588269166,0.35857478865213505,0.36471742294277465,0.7471402910025866,0.789427487414849,0.6405250759899346,0.5786658986498462,0.7477938044569494,0.7517181784091529,4930.747522607513,9297.622195497135,21080.125828354125,25478.603906253218,0.0009470280305416847,0.002137412888539329,0.006783724808912792,0.009506897222658031,0.8116329691065498,0.759914817642029,0.8606042360010342,0.8620957295973017,0.504058834158538,0.4548647380405069,0.5525986741192861,0.5548320622215438,0.7597984169686218,0.8015112648436113,0.468365981272541,0.8901015550971356,0.003624064463459975,0.0019185832760513222
late_newton_full,5,delayed_refresh_64,0.3448968824588493,0.36177220259605264,0.7305139082664063,0.820965699264744,0.3452977685153599,0.36248616252709415,0.7305354085580215,0.8209656346464465,0.6469544051781402,0.5872337058785081,0.7511865555368838,0.7547352600762307,4804.027247197935,9226.313386961365,20968.52950271297,25421.356771603583,0.0009324765801430658,0.002041575607688711,0.00683910809665755,0.008802269152789356,0.8180401951869283,0.767732330448391,0.8612509194177398,0.8617961622204467,0.49203938128154695,0.44756917803089535,0.5380994271917949,0.5388806389807409,0.7685766832685121,0.799503603878962,0.4596926542825283,0.8940823285958918,0.002126721321176639,0.0011274632697912956
