checkpoint_stage,priority,contrast,metric,optimizer_step,clusters,paired_units,mean_delta,bootstrap_ci95_low,bootstrap_ci95_high,origin_means_left_better,origin_means_left_worse,classification,bootstrap_samples,bootstrap_seed_base,negative_delta_means
late,primary,selective_diag_vs_original_newton_muon,normalized_heldout_loss,112,2,6,-0.0014553380328177952,-0.001710122478594478,-0.0013188128344882404,2,0,left_better,5000,20260729,left algorithm is better
late,primary,selective_diag_vs_original_newton_muon,normalized_heldout_loss,128,2,6,-0.0010188908744612757,-0.0012598363042100047,-0.0008885360486131274,2,0,left_better,5000,20260729,left algorithm is better
late,primary,selective_diag_vs_original_newton_muon,normalized_heldout_loss,16,2,6,1.6632496988207752e-06,-5.8245125758360494e-05,8.267443149818121e-05,1,1,uncertain,5000,20260729,left algorithm is better
late,primary,selective_diag_vs_original_newton_muon,normalized_heldout_loss,32,2,6,-0.0001615740441712014,-0.00022421289696820482,-0.00010884153049343463,2,0,left_better,5000,20260729,left algorithm is better
late,primary,selective_diag_vs_original_newton_muon,normalized_heldout_loss,48,2,6,-0.0019757693403068175,-0.0023522569980474937,-0.0017162698537310783,2,0,left_better,5000,20260729,left algorithm is better
late,primary,selective_diag_vs_original_newton_muon,normalized_heldout_loss,64,2,6,-0.002304855640474557,-0.002592066905843904,-0.002093400587322621,2,0,left_better,5000,20260729,left algorithm is better
late,primary,selective_diag_vs_original_newton_muon,normalized_heldout_loss,80,2,6,-0.00225029276534805,-0.002505793428859482,-0.002074957779618377,2,0,left_better,5000,20260729,left algorithm is better
late,primary,selective_diag_vs_original_newton_muon,normalized_heldout_loss,96,2,6,-0.0019322572913667384,-0.002186988497432041,-0.0017395347619723427,2,0,left_better,5000,20260729,left algorithm is better
late,primary,selective_diag_vs_original_newton_muon,normalized_loss_auc,AUC_0_128,2,6,-0.0013234836627521451,-0.0015455325752791922,-0.0012007342294408547,2,0,left_better,5000,20260729,left algorithm is better
late,primary,selective_none_vs_original_newton_muon,normalized_heldout_loss,0,2,6,0.0,0.0,0.0,0,0,uncertain,5000,20260729,left algorithm is better
late,primary,selective_none_vs_original_newton_muon,normalized_heldout_loss,112,2,6,-0.0022829756301721016,-0.002777083653064172,-0.0016573417909431232,2,0,left_better,5000,20260729,left algorithm is better
late,primary,selective_none_vs_original_newton_muon,normalized_heldout_loss,128,2,6,-0.001560907372703017,-0.0020395966290033263,-0.0008814790816252435,2,0,left_better,5000,20260729,left algorithm is better
late,primary,selective_none_vs_original_newton_muon,normalized_heldout_loss,16,2,6,0.0003054409667855677,-5.887602349504324e-06,0.0007060575024360194,1,1,uncertain,5000,20260729,left algorithm is better
