checkpoint_cell,checkpoint_stage,checkpoint_method,source_method,data_replica,trajectory_node,optimizer_step,heldout_loss,normalized_loss,loss_delta_from_step0,relative_loss_delta_from_step0,arm,source_trajectory_node
early_muon,early,muon,newton_full,1,production,80,3.596050500869751,1.0056454560019874,0.0201873779296875,0.005645456001987431,production_newton_muon,production
early_muon,early,muon,newton_full,1,production,96,3.585392713546753,1.002664976336917,0.009529590606689453,0.0026649763369170163,production_newton_muon,production
early_muon,early,muon,newton_full,1,production,112,3.577984094619751,1.000593135589022,0.0021209716796875,0.000593135589022111,production_newton_muon,production
early_muon,early,muon,newton_full,1,production,128,3.5648882389068604,0.9969308433639988,-0.010974884033203125,-0.0030691566360011033,production_newton_muon,production
early_muon,early,muon,newton_full,2,shared_all,0,3.5084736347198486,1.0,0.0,0.0,delayed_down_refresh,shared_all
early_muon,early,muon,newton_full,2,shared_all,16,3.482797145843506,0.9926815785011898,-0.025676488876342773,-0.007318421498810276,delayed_down_refresh,shared_all
early_muon,early,muon,newton_full,2,shared_no_down,32,3.482839822769165,0.9926937424591106,-0.025633811950683594,-0.007306257540889417,delayed_down_refresh,shared_no_down
early_muon,early,muon,newton_full,2,shared_no_down,48,3.4968678951263428,0.9966920829962479,-0.01160573959350586,-0.0033079170037521393,delayed_down_refresh,shared_no_down
early_muon,early,muon,newton_full,2,delayed,64,3.4942896366119385,0.9959572168456546,-0.014183998107910156,-0.004042783154345336,delayed_down_refresh,delayed
early_muon,early,muon,newton_full,2,delayed,80,3.5002832412719727,0.9976655394052776,-0.008190393447875977,-0.0023344605947224054,delayed_down_refresh,delayed
early_muon,early,muon,newton_full,2,delayed,96,3.4926371574401855,0.9954862202403503,-0.015836477279663086,-0.004513779759649705,delayed_down_refresh,delayed
early_muon,early,muon,newton_full,2,delayed,112,3.488715887069702,0.994368563168147,-0.019757747650146484,-0.0056314368318529885,delayed_down_refresh,delayed
early_muon,early,muon,newton_full,2,delayed,128,3.4731874465942383,0.9899425813617585,-0.03528618812561035,-0.010057418638241514,delayed_down_refresh,delayed
early_muon,early,muon,newton_full,2,shared_all,0,3.5084736347198486,1.0,0.0,0.0,frozen_down_refresh,shared_all
early_muon,early,muon,newton_full,2,shared_all,16,3.482797145843506,0.9926815785011898,-0.025676488876342773,-0.007318421498810276,frozen_down_refresh,shared_all
early_muon,early,muon,newton_full,2,shared_no_down,32,3.482839822769165,0.9926937424591106,-0.025633811950683594,-0.007306257540889417,frozen_down_refresh,shared_no_down
early_muon,early,muon,newton_full,2,shared_no_down,48,3.4968678951263428,0.9966920829962479,-0.01160573959350586,-0.0033079170037521393,frozen_down_refresh,shared_no_down
early_muon,early,muon,newton_full,2,frozen,64,3.493718147277832,0.9957943285376306,-0.014755487442016602,-0.004205671462369369,frozen_down_refresh,frozen
early_muon,early,muon,newton_full,2,frozen,80,3.491563558578491,0.9951802185503077,-0.016910076141357422,-0.004819781449692351,frozen_down_refresh,frozen
early_muon,early,muon,newton_full,2,frozen,96,3.4849557876586914,0.9932968437247398,-0.023517847061157227,-0.006703156275260174,frozen_down_refresh,frozen
early_muon,early,muon,newton_full,2,frozen,112,3.4805922508239746,0.992053129993636,-0.027881383895874023,-0.007946870006363993,frozen_down_refresh,frozen
early_muon,early,muon,newton_full,2,frozen,128,3.4665188789367676,0.9880418779927839,-0.041954755783081055,-0.01195812200721615,frozen_down_refresh,frozen
early_muon,early,muon,newton_full,2,shared_all,0,3.5084736347198486,1.0,0.0,0.0,production_newton_muon,shared_all
early_muon,early,muon,newton_full,2,shared_all,16,3.482797145843506,0.9926815785011898,-0.025676488876342773,-0.007318421498810276,production_newton_muon,shared_all
early_muon,early,muon,newton_full,2,production,32,3.4837560653686523,0.992954893801512,-0.02471756935119629,-0.007045106198487932,production_newton_muon,production
