experiment,scale,method,seed,step,val_loss,local_match
50,r1_124m,global_diag,2026,4400,3.4024999999999999,true
50,r1_124m,global_diag,2026,4500,3.3967000000000001,true
50,r1_124m,global_diag,2026,4600,3.3864000000000001,true
50,r1_124m,global_diag,2026,4700,3.3782999999999999,true
50,r1_124m,global_diag,2026,4800,3.3662000000000001,true
50,r1_124m,global_diag,2026,4900,3.3574999999999999,true
50,r1_124m,global_diag,2026,5000,3.3500000000000001,true
50,r1_124m,global_diag,2026,5100,3.3422999999999998,true
50,r1_124m,global_diag,2026,5200,3.3327,true
50,r1_124m,global_diag,2026,5300,3.3247,true
50,r1_124m,global_diag,2026,5400,3.3174999999999999,true
50,r1_124m,global_diag,2026,5500,3.3104,true
50,r1_124m,global_diag,2026,5600,3.3031000000000001,true
50,r1_124m,global_diag,2026,5700,3.2959000000000001,true
50,r1_124m,global_diag,2026,5800,3.2890000000000001,true
50,r1_124m,global_diag,2026,5900,3.2827000000000002,true
50,r1_124m,global_diag,2026,6000,3.2770000000000001,true
50,r1_124m,global_diag,2026,6100,3.2723,true
50,r1_124m,global_diag,2026,6200,3.2698999999999998,true
51,275m,global_diag,2024,0,10.825837135314941,true
51,275m,global_diag,2024,50,5.1762185096740723,true
51,275m,global_diag,2024,100,4.7225313186645508,true
51,275m,global_diag,2024,150,4.3280668258666992,true
51,275m,global_diag,2024,200,4.1706485748291016,true
51,275m,global_diag,2024,250,4.0586142539978027,true
51,275m,global_diag,2024,300,3.9490706920623779,true
51,275m,global_diag,2024,350,3.8874866962432861,true
51,275m,global_diag,2024,400,3.8037431240081787,true
51,275m,global_diag,2024,450,3.7594602108001709,true
51,275m,global_diag,2024,500,3.7210228443145752,true
51,275m,global_diag,2024,550,3.6772620677947998,true
51,275m,global_diag,2024,600,3.6488769054412842,true
51,275m,global_diag,2024,650,3.6174976825714111,true
51,275m,global_diag,2024,700,3.5975303649902344,true
51,275m,global_diag,2024,750,3.5762372016906738,true
51,275m,global_diag,2024,800,3.5535659790039062,true
51,275m,global_diag,2024,850,3.5365893840789795,true
51,275m,global_diag,2024,900,3.5187180042266846,true
51,275m,global_diag,2024,950,3.5044999122619629,true
51,275m,global_diag,2024,1000,3.484818696975708,true
51,275m,global_diag,2024,1050,3.4639060497283936,true
51,275m,global_diag,2024,1100,3.4446225166320801,true
51,275m,global_diag,2024,1150,3.4242043495178223,true
51,275m,global_diag,2024,1200,3.4068048000335693,true
51,275m,global_diag,2024,1250,3.3898270130157471,true
51,275m,global_diag,2024,1300,3.3729164600372314,true
51,275m,global_diag,2024,1350,3.3585796356201172,true
51,275m,global_diag,2024,1400,3.3436119556427002,true
51,275m,global_diag,2024,1450,3.3300883769989014,true
51,275m,global_diag,2024,1500,3.3172001838684082,true
51,275m,global_diag,2024,1550,3.3052825927734375,true
51,275m,global_diag,2024,1600,3.2943069934844971,true
51,275m,global_diag,2024,1650,3.2841966152191162,true
51,275m,global_diag,2024,1695,3.2770950794219971,true
51,275m,global_diag,2025,0,10.825837135314941,true
51,275m,global_diag,2025,50,5.1822066307067871,true
51,275m,global_diag,2025,100,4.7352566719055176,true
51,275m,global_diag,2025,150,4.3348269462585449,true
51,275m,global_diag,2025,200,4.1667690277099609,true
51,275m,global_diag,2025,250,4.0586404800415039,true
51,275m,global_diag,2025,300,3.952197790145874,true
51,275m,global_diag,2025,350,3.8925819396972656,true
51,275m,global_diag,2025,400,3.8071041107177734,true
51,275m,global_diag,2025,450,3.7621212005615234,true
51,275m,global_diag,2025,500,3.7223598957061768,true
51,275m,global_diag,2025,550,3.6783185005187988,true
51,275m,global_diag,2025,600,3.6490190029144287,true
51,275m,global_diag,2025,650,3.6190605163574219,true
51,275m,global_diag,2025,700,3.5950877666473389,true
51,275m,global_diag,2025,750,3.5752315521240234,true
51,275m,global_diag,2025,800,3.5542397499084473,true
51,275m,global_diag,2025,850,3.5372979640960693,true
51,275m,global_diag,2025,900,3.5199768543243408,true
51,275m,global_diag,2025,950,3.5035946369171143,true
51,275m,global_diag,2025,1000,3.4844958782196045,true
51,275m,global_diag,2025,1050,3.4633102416992188,true
51,275m,global_diag,2025,1100,3.4450957775115967,true
51,275m,global_diag,2025,1150,3.4247207641601562,true
51,275m,global_diag,2025,1200,3.4078617095947266,true
51,275m,global_diag,2025,1250,3.3910980224609375,true
51,275m,global_diag,2025,1300,3.3746621608734131,true
51,275m,global_diag,2025,1350,3.3599870204925537,true
51,275m,global_diag,2025,1400,3.3454034328460693,true
51,275m,global_diag,2025,1450,3.3330008983612061,true
51,275m,global_diag,2025,1500,3.3199737071990967,true
51,275m,global_diag,2025,1550,3.3080079555511475,true
51,275m,global_diag,2025,1600,3.2973575592041016,true
51,275m,global_diag,2025,1650,3.2873475551605225,true
51,275m,global_diag,2025,1695,3.2804291248321533,true
51,275m,global_diag,2026,0,10.825837135314941,true
51,275m,global_diag,2026,50,5.1646199226379395,true
51,275m,global_diag,2026,100,4.7012124061584473,true
51,275m,global_diag,2026,150,4.3172836303710938,true
51,275m,global_diag,2026,200,4.1520237922668457,true
51,275m,global_diag,2026,250,4.0508675575256348,true
51,275m,global_diag,2026,300,3.9474427700042725,true
