experiment,scale,seed,run_label,metric,exported_points,expected_points,common_points,step_set_exact,values_match,max_abs_error,status,note
52,124m_plus_1b_aggregate,2024,global_diag_seed2024,lr/matrix__min,311,311,311,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2024,global_diag_seed2024,lr/matrix__max,311,311,311,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2026,global_diag_seed2026,lr/backup__mean,311,311,311,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2026,global_diag_seed2026,lr/backup__min,311,311,311,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2026,global_diag_seed2026,lr/backup__max,311,311,311,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2025,global_diag_seed2025,lr/backup__mean,311,311,311,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2025,global_diag_seed2025,lr/backup__min,311,311,311,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2025,global_diag_seed2025,lr/backup__max,311,311,311,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2024,global_diag_seed2024,lr/backup__mean,311,311,311,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2024,global_diag_seed2024,lr/backup__min,311,311,311,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2024,global_diag_seed2024,lr/backup__max,311,311,311,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2026,global_diag_seed2026,performance/step_avg_ms__mean,309,309,309,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2026,global_diag_seed2026,performance/step_avg_ms__min,309,309,309,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2026,global_diag_seed2026,performance/step_avg_ms__max,309,309,309,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
52,124m_plus_1b_aggregate,2025,global_diag_seed2025,performance/step_avg_ms__mean,309,309,309,true,true,0,passed,W&B grouped 124M with a reused 1B run id; the 1B W&B history contains the medium screen through step 1000 and the formal continuation thereafter. The aggregate is checked against that exact lineage; local formal CSVs remain primary.
