check,status,details
val/loss: exact seed/method coverage,PASS,2024:block4;2024:diag;2024:muon;2024:none;2025:block4;2025:diag;2025:muon;2025:none
exact nine-metric coverage,PASS,"lr/adamw,lr/matrix,memory/k_state_mib,memory/optimizer_state_mib,memory/peak_allocated_mib,performance/step_avg_ms,time/train_s,train/loss_step,val/loss"
exact eight-run coverage,PASS,runs=8
no duplicate seed/method/metric/step grain,PASS,duplicates=0
seed2024: identical four-method initialization loss,PASS,"10.9462,10.9462,10.9462,10.9462"
seed2025: identical four-method initialization loss,PASS,"10.9869,10.9869,10.9869,10.9869"
seed2026: identical four-method initialization loss,PASS,"10.9790,10.9790,10.9790,10.9790"
seed2024 block4: expected formal LR,PASS,"adamw=0.004, matrix=0.0004"
seed2024 diag: expected formal LR,PASS,"adamw=0.004, matrix=0.0004"
seed2024 muon: expected formal LR,PASS,"adamw=0.0036, matrix=0.00036"
seed2024 none: expected formal LR,PASS,"adamw=0.004, matrix=0.0004"
seed2025 block4: expected formal LR,PASS,"adamw=0.004, matrix=0.0004"
seed2025 diag: expected formal LR,PASS,"adamw=0.004, matrix=0.0004"
seed2025 muon: expected formal LR,PASS,"adamw=0.0036, matrix=0.00036"
seed2025 none: expected formal LR,PASS,"adamw=0.004, matrix=0.0004"
seed2026 diag: expected formal LR,PASS,"adamw=0.004, matrix=0.0004"
seed2026 block4: expected formal LR,PASS,"adamw=0.004, matrix=0.0004"
seed2026 none: expected formal LR,PASS,"adamw=0.004, matrix=0.0004"
seed2026 muon: expected formal LR,PASS,"adamw=0.0036, matrix=0.00036"
