checkpoint_cell,checkpoint_stage,checkpoint_method,data_replica,contrast,contrast_class,left,right,metric,optimizer_step,left_value,right_value,delta_left_minus_right
early_muon,early,muon,2,selective_diag_vs_original_newton_muon,primary,selective_diag,original_newton_muon,normalized_heldout_loss,48,0.998619968394096,1.0017857913419121,-0.0031658229478161992
early_muon,early,muon,2,selective_diag_vs_original_newton_muon,primary,selective_diag,original_newton_muon,normalized_heldout_loss,64,0.9974288518888622,1.00087729998189,-0.0034484480930278005
early_muon,early,muon,2,selective_diag_vs_original_newton_muon,primary,selective_diag,original_newton_muon,normalized_heldout_loss,80,0.9967473984250053,1.0001697517703145,-0.0034223533453092703
early_muon,early,muon,2,selective_diag_vs_original_newton_muon,primary,selective_diag,original_newton_muon,normalized_heldout_loss,96,0.9943265669335376,0.9969781738501408,-0.0026516069166031553
early_muon,early,muon,2,selective_diag_vs_original_newton_muon,primary,selective_diag,original_newton_muon,normalized_heldout_loss,112,0.9928827255148531,0.994915669454297,-0.0020329439394438653
early_muon,early,muon,2,selective_diag_vs_original_newton_muon,primary,selective_diag,original_newton_muon,normalized_heldout_loss,128,0.9887239430522904,0.9898798588301331,-0.0011559157778426865
early_muon,early,muon,2,selective_none_vs_original_newton_muon,primary,selective_none,original_newton_muon,normalized_loss_auc,AUC_0_128,0.9941978515324379,0.996917226644776,-0.002719375112338107
early_muon,early,muon,2,selective_none_vs_original_newton_muon,primary,selective_none,original_newton_muon,normalized_heldout_loss,0,1.0,1.0,0.0
early_muon,early,muon,2,selective_none_vs_original_newton_muon,primary,selective_none,original_newton_muon,normalized_heldout_loss,16,0.9933536541650853,0.9926773652867144,0.0006762888783709009
early_muon,early,muon,2,selective_none_vs_original_newton_muon,primary,selective_none,original_newton_muon,normalized_heldout_loss,32,0.9929409630117144,0.9929938320578733,-5.286904615886545e-05
early_muon,early,muon,2,selective_none_vs_original_newton_muon,primary,selective_none,original_newton_muon,normalized_heldout_loss,48,0.9967325842192692,1.0017857913419121,-0.0050532071226429
early_muon,early,muon,2,selective_none_vs_original_newton_muon,primary,selective_none,original_newton_muon,normalized_heldout_loss,64,0.9957564096073522,1.00087729998189,-0.005120890374537779
early_muon,early,muon,2,selective_none_vs_original_newton_muon,primary,selective_none,original_newton_muon,normalized_heldout_loss,80,0.9951886449792584,1.0001697517703145,-0.004981106791056122
early_muon,early,muon,2,selective_none_vs_original_newton_muon,primary,selective_none,original_newton_muon,normalized_heldout_loss,96,0.9934260263169608,0.9969781738501408,-0.0035521475331800056
early_muon,early,muon,2,selective_none_vs_original_newton_muon,primary,selective_none,original_newton_muon,normalized_heldout_loss,112,0.9920538095443578,0.994915669454297,-0.002861859909939146
early_muon,early,muon,2,selective_none_vs_original_newton_muon,primary,selective_none,original_newton_muon,normalized_heldout_loss,128,0.988261440831009,0.9898798588301331,-0.0016184179991241
early_muon,early,muon,2,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_loss_auc,AUC_0_128,0.996917226644776,0.9928235493885571,0.004093677256218897
early_muon,early,muon,2,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_heldout_loss,0,1.0,1.0,0.0
early_muon,early,muon,2,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_heldout_loss,16,0.9926773652867144,0.9974956517248187,-0.0048182864381043355
early_muon,early,muon,2,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_heldout_loss,32,0.9929938320578733,0.996650698357288,-0.0036568662994147516
early_muon,early,muon,2,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_heldout_loss,48,1.0017857913419121,0.9944715830575773,0.007314208284334822
early_muon,early,muon,2,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_heldout_loss,64,1.00087729998189,0.992212688503123,0.00866461147876696
early_muon,early,muon,2,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_heldout_loss,80,1.0001697517703145,0.9909616356242233,0.009208116146091183
early_muon,early,muon,2,original_newton_muon_vs_muon,baseline,original_newton_muon,muon,normalized_heldout_loss,96,0.9969781738501408,0.9895338316025742,0.0074443422475665155
