check,status,severity_if_failed,evidence
adamw_low seed2024 memory/optimizer_state_mib: MIN/MAX mirrors,PASS,high,points=1
adamw_low seed2024 memory/optimizer_state_mib: finite,PASS,critical,finite=1/1
moonlight_r1scale seed2026 memory/optimizer_state_mib: MIN/MAX mirrors,PASS,high,points=1
moonlight_r1scale seed2026 memory/optimizer_state_mib: finite,PASS,critical,finite=1/1
normuon_r1scale seed2026 memory/optimizer_state_mib: MIN/MAX mirrors,PASS,high,points=1
normuon_r1scale seed2026 memory/optimizer_state_mib: finite,PASS,critical,finite=1/1
adamw_low seed2026 memory/optimizer_state_mib: MIN/MAX mirrors,PASS,high,points=1
adamw_low seed2026 memory/optimizer_state_mib: finite,PASS,critical,finite=1/1
wandb_export_2026-07-23T10_08_50.747+08_00.csv: exactly one metric,PASS,critical,['memory/peak_allocated_mib']
memory/peak_allocated_mib: unique export file,PASS,critical,wandb_export_2026-07-23T10_08_50.747+08_00.csv
memory/peak_allocated_mib: exact nine-run coverage,PASS,critical,observed=9
memory/peak_allocated_mib: exact step coverage,PASS,critical,"observed_first_last=(6200,)...(6200,); expected_points=1"
moonlight_r1scale seed2025 memory/peak_allocated_mib: MIN/MAX mirrors,PASS,high,points=1
moonlight_r1scale seed2025 memory/peak_allocated_mib: finite,PASS,critical,finite=1/1
normuon_r1scale seed2025 memory/peak_allocated_mib: MIN/MAX mirrors,PASS,high,points=1
normuon_r1scale seed2025 memory/peak_allocated_mib: finite,PASS,critical,finite=1/1
adamw_low seed2025 memory/peak_allocated_mib: MIN/MAX mirrors,PASS,high,points=1
adamw_low seed2025 memory/peak_allocated_mib: finite,PASS,critical,finite=1/1
moonlight_r1scale seed2024 memory/peak_allocated_mib: MIN/MAX mirrors,PASS,high,points=1
moonlight_r1scale seed2024 memory/peak_allocated_mib: finite,PASS,critical,finite=1/1
normuon_r1scale seed2024 memory/peak_allocated_mib: MIN/MAX mirrors,PASS,high,points=1
normuon_r1scale seed2024 memory/peak_allocated_mib: finite,PASS,critical,finite=1/1
adamw_low seed2024 memory/peak_allocated_mib: MIN/MAX mirrors,PASS,high,points=1
adamw_low seed2024 memory/peak_allocated_mib: finite,PASS,critical,finite=1/1
moonlight_r1scale seed2026 memory/peak_allocated_mib: MIN/MAX mirrors,PASS,high,points=1
moonlight_r1scale seed2026 memory/peak_allocated_mib: finite,PASS,critical,finite=1/1
normuon_r1scale seed2026 memory/peak_allocated_mib: MIN/MAX mirrors,PASS,high,points=1
normuon_r1scale seed2026 memory/peak_allocated_mib: finite,PASS,critical,finite=1/1
adamw_low seed2026 memory/peak_allocated_mib: MIN/MAX mirrors,PASS,high,points=1
adamw_low seed2026 memory/peak_allocated_mib: finite,PASS,critical,finite=1/1
wandb_export_2026-07-23T10_08_46.251+08_00.csv: exactly one metric,PASS,critical,['lr/auxiliary']
lr/auxiliary: unique export file,PASS,critical,wandb_export_2026-07-23T10_08_46.251+08_00.csv
lr/auxiliary: exact nine-run coverage,PASS,critical,observed=9
lr/auxiliary: exact step coverage,PASS,critical,"observed_first_last=(0, 20)...(6180, 6200); expected_points=311"
moonlight_r1scale seed2025 lr/auxiliary: MIN/MAX mirrors,PASS,high,points=311
moonlight_r1scale seed2025 lr/auxiliary: finite,PASS,critical,finite=311/311
normuon_r1scale seed2025 lr/auxiliary: MIN/MAX mirrors,PASS,high,points=311
normuon_r1scale seed2025 lr/auxiliary: finite,PASS,critical,finite=311/311
adamw_low seed2025 lr/auxiliary: MIN/MAX mirrors,PASS,high,points=311
adamw_low seed2025 lr/auxiliary: finite,PASS,critical,finite=311/311
moonlight_r1scale seed2024 lr/auxiliary: MIN/MAX mirrors,PASS,high,points=311
moonlight_r1scale seed2024 lr/auxiliary: finite,PASS,critical,finite=311/311
normuon_r1scale seed2024 lr/auxiliary: MIN/MAX mirrors,PASS,high,points=311
normuon_r1scale seed2024 lr/auxiliary: finite,PASS,critical,finite=311/311
adamw_low seed2024 lr/auxiliary: MIN/MAX mirrors,PASS,high,points=311
adamw_low seed2024 lr/auxiliary: finite,PASS,critical,finite=311/311
moonlight_r1scale seed2026 lr/auxiliary: MIN/MAX mirrors,PASS,high,points=311
moonlight_r1scale seed2026 lr/auxiliary: finite,PASS,critical,finite=311/311
normuon_r1scale seed2026 lr/auxiliary: MIN/MAX mirrors,PASS,high,points=311
normuon_r1scale seed2026 lr/auxiliary: finite,PASS,critical,finite=311/311
adamw_low seed2026 lr/auxiliary: MIN/MAX mirrors,PASS,high,points=311
adamw_low seed2026 lr/auxiliary: finite,PASS,critical,finite=311/311
wandb_export_2026-07-23T10_08_42.320+08_00.csv: exactly one metric,PASS,critical,['lr/matrix']
lr/matrix: unique export file,PASS,critical,wandb_export_2026-07-23T10_08_42.320+08_00.csv
lr/matrix: exact nine-run coverage,PASS,critical,observed=9
lr/matrix: exact step coverage,PASS,critical,"observed_first_last=(0, 20)...(6180, 6200); expected_points=311"
