metric,candidate,candidate_display,reference,reference_display,paired_mean_delta_all3,paired_sd_delta_all3,wins_all3,losses_all3,paired_mean_delta_confirmatory_2024_2025,paired_sd_delta_confirmatory_2024_2025,wins_confirmatory,losses_confirmatory
tail5_val_loss_mean,moonlight_r1scale,Moonlight Muon,muon,Muon,0.0009866666666666173,0.0003700450423032512,0,3,0.0011999999999998678,2.8284271247019158e-05,0,2
tail5_val_loss_mean,normuon_r1scale,NorMuon,diag,Newton–Muon diag,0.07341333333333362,0.0016753905017437482,0,3,0.07366000000000028,0.0022910259710443503,0,2
tail5_val_loss_mean,normuon_r1scale,NorMuon,block4,Newton–Muon block4,0.07223333333333375,0.001960544142153256,0,3,0.07226000000000043,0.002771858582250584,0,2
tail5_val_loss_mean,normuon_r1scale,NorMuon,none,Newton–Muon none,0.06772000000000016,0.0013400000000001189,0,3,0.06772000000000022,0.0018950461735801154,0,2
tail5_val_loss_mean,normuon_r1scale,NorMuon,muon,Muon,0.05697333333333369,0.0012028854198687861,0,3,0.056720000000000326,0.0015839191898575666,0,2
tail5_val_loss_mean,adamw_low,AdamW,diag,Newton–Muon diag,0.14078666666666675,0.005398308377014049,0,3,0.14388000000000045,0.0009333809511663911,0,2
tail5_val_loss_mean,adamw_low,AdamW,block4,Newton–Muon block4,0.13960666666666688,0.004987036528173869,0,3,0.1424800000000006,0.000452548339960157,0,2
tail5_val_loss_mean,adamw_low,AdamW,none,Newton–Muon none,0.1350933333333333,0.005019375791205592,0,3,0.1379400000000004,0.0013293607486306257,0,2
tail5_val_loss_mean,adamw_low,AdamW,muon,Muon,0.12434666666666683,0.004639152221402009,0,3,0.1269400000000005,0.0016404877323531748,0,2
normalized_val_auc,moonlight_r1scale,Moonlight Muon,diag,Newton–Muon diag,0.03708924731182828,0.0016097215257819533,0,3,0.03790483870967787,0.0010914535316054732,0,2
normalized_val_auc,moonlight_r1scale,Moonlight Muon,block4,Newton–Muon block4,0.03628037634408606,0.0013948825782894192,0,3,0.03675040322580703,0.0016018249583486508,0,2
normalized_val_auc,moonlight_r1scale,Moonlight Muon,none,Newton–Muon none,0.02812284946236569,0.0011726600489311329,0,3,0.02879233870967801,0.0002469171260107462,0,2
normalized_val_auc,moonlight_r1scale,Moonlight Muon,muon,Muon,0.018862634408602624,0.0006609363398238384,0,3,0.01880604838709732,0.0009243710421798554,0,2
normalized_val_auc,normuon_r1scale,NorMuon,diag,Newton–Muon diag,0.1122508064516133,0.003018829220860799,0,3,0.11336532258064547,0.0032823440584754345,0,2
normalized_val_auc,normuon_r1scale,NorMuon,block4,Newton–Muon block4,0.11144193548387109,0.002994362223390718,0,3,0.11221088709677463,0.0037927154852186126,0,2
normalized_val_auc,normuon_r1scale,NorMuon,none,Newton–Muon none,0.10328440860215071,0.0024051881376422135,0,3,0.10425282258064561,0.002437807652880708,0,2
normalized_val_auc,normuon_r1scale,NorMuon,muon,Muon,0.09402419354838765,0.0009890500256175005,0,3,0.09426653225806492,0.0012665194846901062,0,2
normalized_val_auc,adamw_low,AdamW,diag,Newton–Muon diag,0.24565161290322543,0.02251233428832369,0,3,0.25857338709677347,0.00343174887837143,0,2
normalized_val_auc,adamw_low,AdamW,block4,Newton–Muon block4,0.2448427419354832,0.021880365002867178,0,3,0.2574189516129026,0.0029213774516282523,0,2
normalized_val_auc,adamw_low,AdamW,none,Newton–Muon none,0.23668521505376283,0.022333756879813888,0,3,0.2494608870967736,0.004276285283966157,0,2
normalized_val_auc,adamw_low,AdamW,muon,Muon,0.22742499999999977,0.021223015231589017,0,3,0.23947459677419292,0.005447573452156758,0,2
