stage,source_method,event_id,layer_index,nested_row_count,residual_median,residual_mean,residual_max,hard_gate,above_gate_count,condition_before_median,condition_after_median,relative_a_change_median,relative_runtime_inverse_change_median,matched_g_change_median,runtime_ns5_change_median
late,muon,delayed_refresh_64,12,3,0.000368191707009,0.000375153853717,0.000402571213839,0.01,0,1903.33707235,978.833345953,0.261552293192,0.814470414366,0.86231077123,0.54793860107
late,muon,delayed_refresh_64,13,3,0.00037847125795,0.000380445712812,0.00039135856211,0.01,0,2514.90959514,1377.31420789,0.47740042979,0.819362398124,0.870711242609,0.556062405574
late,muon,delayed_refresh_64,14,3,0.000379351882232,0.000388143467206,0.0004092711232,0.01,0,2282.08635449,1087.75878062,0.245683470262,0.819968797676,0.876043255359,0.560633983137
late,muon,delayed_refresh_64,15,3,0.0011688356162,0.001178212151,0.00120195295785,0.01,0,7514.05975228,6802.00647751,0.769305852793,0.777593197255,0.844076430859,0.542020441754
late,muon,delayed_refresh_64,16,3,0.000892675310599,0.000890010459124,0.000894109434039,0.01,0,16109.1575877,12351.246361,0.196999484128,0.653333023395,0.755081428637,0.475860623122
late,muon,delayed_refresh_64,17,3,0.00206484921362,0.00209152419714,0.00216180118993,0.01,0,10789.7528107,10033.7857261,0.731345729355,0.690689892043,0.823773094795,0.525573591997
late,muon,production_refresh_32,0,3,0.00128359943351,0.00130306027508,0.00139659958059,0.01,0,2034.28578629,2317.75706515,0.479738021391,0.474021019885,0.7206753014,0.43202633178
late,muon,production_refresh_32,1,3,0.000628182491371,0.0006125710075,0.000661075111628,0.01,0,1402.42441753,1281.92624524,0.362483468786,0.566063654393,0.694760185445,0.427467536112
late,muon,production_refresh_32,2,3,0.000663211841146,0.000669478585534,0.000817977248721,0.01,0,12804.4664464,10572.8106496,0.103712546694,0.5168975213,0.64678543728,0.3852587109
late,muon,production_refresh_32,3,3,0.0137903085617,0.013274055842,0.0149267322861,0.01,3,26540.4980846,25322.4856637,0.0915576792138,0.153516070591,0.281373251659,0.11945789276
late,muon,production_refresh_32,4,3,0.00288211171593,0.00290395605242,0.00319273453618,0.01,0,15723.9094774,11331.5951453,0.227114094386,0.550349015694,0.66435582468,0.397081608687
late,muon,production_refresh_32,5,3,0.00048311803701,0.000479921194907,0.000492160228297,0.01,0,2890.74338136,1615.40860637,0.273303291173,0.726372880866,0.807998281094,0.51804581833
late,muon,production_refresh_32,6,3,0.000396908932815,0.000397336015945,0.000403375289335,0.01,0,999.816670404,531.384755378,0.345211399481,0.774499559466,0.840922523508,0.547899906008
late,muon,production_refresh_32,7,3,0.000378594993786,0.000376550937679,0.000389347910335,0.01,0,1016.88660205,561.951273736,0.357727642912,0.791622144702,0.853728336938,0.554891631884
late,muon,production_refresh_32,8,3,0.000365650374486,0.000371753412365,0.000389147807547,0.01,0,1197.2398701,595.009763725,0.40300605073,0.797482794379,0.855491218853,0.55790152662
late,muon,production_refresh_32,9,3,0.000380429110121,0.000382530027308,0.000391921520536,0.01,0,1411.46258899,697.366105007,0.485735550769,0.804928179083,0.858058494507,0.563667156093
late,muon,production_refresh_32,10,3,0.000340158981519,0.000348596932713,0.000365476544256,0.01,0,4632.85746352,3258.29858804,0.824035120054,0.795342982514,0.849964929549,0.558470553085
late,muon,production_refresh_32,11,3,0.000353522975218,0.000349425547411,0.000358543787068,0.01,0,1467.85090411,503.602142259,0.325708680155,0.81160256925,0.862724765145,0.570055375521
late,muon,production_refresh_32,12,3,0.00037448411537,0.000374592449228,0.000383535072193,0.01,0,1903.33117224,990.057539288,0.253803965056,0.810535699133,0.862639161095,0.566305958506
late,muon,production_refresh_32,13,3,0.00038246395128,0.000382254256557,0.000396117228048,0.01,0,2514.8965147,1375.98076166,0.440982933418,0.815746238403,0.870417143442,0.569325989006
late,muon,production_refresh_32,14,3,0.000376085069407,0.000380963506635,0.00039692364383,0.01,0,2282.09400642,1107.68910839,0.240274256357,0.819014215294,0.876009889185,0.576243295202
late,muon,production_refresh_32,15,3,0.00112832440333,0.00120421780592,0.00136931344298,0.01,0,7514.0751426,6794.4776706,0.741161977626,0.776291346042,0.846539346119,0.55474076707
late,muon,production_refresh_32,16,3,0.000993895787302,0.000948081805351,0.0010080603413,0.01,0,16109.1146456,12310.9731227,0.210634628059,0.657075475136,0.766321175494,0.489539561624
late,muon,production_refresh_32,17,3,0.00176445670392,0.00195832142845,0.00240694742745,0.01,0,10789.7509234,10155.9430513,0.820726699837,0.695798968321,0.819120060086,0.534179187995
late,newton_full,delayed_refresh_64,0,3,0.00655591450241,0.00656846935523,0.00670678128341,0.01,0,21044.3933603,21334.8071765,0.777504542834,0.458747373683,0.709108785888,0.38521676917
late,newton_full,delayed_refresh_64,1,3,0.00125629354353,0.00126345223299,0.00140145560662,0.01,0,2256.09456859,2129.81326227,0.707176116199,0.546842119697,0.758575481753,0.446992118333
late,newton_full,delayed_refresh_64,2,3,0.00205489479938,0.00200365180858,0.00287586680047,0.01,0,21011.7781016,18680.7483134,0.138324485302,0.329039272706,0.562063154302,0.28724278446
