suite,method,val/loss__last__count,val/loss__last__mean,val/loss__last__std,val/loss__min__count,val/loss__min__mean,val/loss__min__std,val/loss__noninitial_mean__count,val/loss__noninitial_mean__mean,val/loss__noninitial_mean__std,val/loss__tail3_mean__count,val/loss__tail3_mean__mean,val/loss__tail3_mean__std,val/loss__tail10_mean__count,val/loss__tail10_mean__mean,val/loss__tail10_mean__std,time_elapsed__last__count,time_elapsed__last__mean,time_elapsed__last__std,cuda/full_run_max_memory_allocated_mib__last__count,cuda/full_run_max_memory_allocated_mib__last__mean,cuda/full_run_max_memory_allocated_mib__last__std,matrix/k_state_bytes__last__count,matrix/k_state_bytes__last__mean,matrix/k_state_bytes__last__std,k_state_reduction_vs_block4_fraction__count,k_state_reduction_vs_block4_fraction__mean,k_state_reduction_vs_block4_fraction__std,peak_memory_reduction_vs_block4_fraction__count,peak_memory_reduction_vs_block4_fraction__mean,peak_memory_reduction_vs_block4_fraction__std
owt24l_12k,no_cproj_k,3,5.642381032307942,0.03316830121857623,3,5.504660447438558,0.03372509413488719,3,5.849240911179694,0.004390983468317888,3,5.624442259470622,0.04262981125532929,3,5.644457403818766,0.021704291571238373,3,1345.103770017624,49.29579070640701,3,6203.626953125,0.09133861680539002,3,905969664.0,0.0,3,0.5714285714285714,0.0,3,0.15663897904939825,1.1567887452455086e-05
owt24l_12k,paper_block4,3,5.920392831166585,0.04960685130777546,3,5.652844587961833,0.047852841370160146,3,5.949668884277344,0.019515905419056952,3,5.8647984398735895,0.027662413386969013,3,5.8120525836944585,0.007351325469536918,3,1384.4314243793488,92.80070646493643,3,7355.837890625,0.09133861680539002,3,2113929216.0,0.0,3,0.0,0.0,3,0.0,0.0
wikitext12l_100m,diag_cproj_k,3,3.5099947452545166,0.010659364242675365,3,3.5021095275878906,0.003148761246371053,3,3.8661301864518056,0.004950033085339323,3,3.528354220920139,0.013417917676149037,3,3.573398240407308,0.0077311264228604685,3,857.2572187582651,6.066513208817261,3,9744.515299479166,5.1499912616815156,3,255098880.0,0.0,3,0.5709325396825398,0.0,3,0.03234003074080679,0.00038584323964111676
wikitext12l_100m,muon_blog,3,3.4745404720306396,0.011715974322731292,3,3.4660969575246177,0.0034160410865839547,3,3.8391267591052585,0.0036130452659086086,3,3.4915323522355823,0.012727377371264765,3,3.5391092618306477,0.003809120444878788,3,809.6614677111307,21.878359224672373,3,8903.87451171875,0.0,3,0.0,0.0,3,1.0,0.0,3,0.1158181740157805,0.00011555110584712132
wikitext12l_100m,no_cproj_k,3,3.513990640640259,0.011116120365607027,3,3.505214055379232,0.004164662274840741,3,3.8714868161413403,0.004957496410000778,3,3.532045470343696,0.012961766939554278,3,3.577468244234721,0.0074264369330127485,3,855.7914683818817,17.364164542905957,3,9742.343587239584,4.742995903914948,3,254803968.0,0.0,3,0.5714285714285714,0.0,3,0.03255567281527605,0.0003929059111209254
wikitext12l_100m,paper_block4,3,3.512089252471924,0.010585066896114268,3,3.5030109882354736,0.0058560310391619005,3,3.8673840132024555,0.0065648802326056304,3,3.529796044031779,0.012193179247493025,3,3.574065589904785,0.00864236077081619,3,902.6987640857697,9.084211396794467,3,10070.18505859375,1.3161407112330872,3,594542592.0,0.0,3,0.0,0.0,3,0.0,0.0
wikitext24l_12k_lr001,diag_cproj_k,3,5.066821734110515,0.06996819479485544,3,4.963213284810384,0.013513299530658102,3,5.300373422926751,0.0035366405592693524,3,5.0552784072028265,0.02942136679638105,3,5.063462416330974,0.012496939372839433,3,1238.7801214059193,50.55603402359765,3,6204.53515625,0.09133861680539002,3,906756096.0,0.0,3,0.5710565476190477,0.0,3,0.15650946493536289,1.9847999528961248e-05
wikitext24l_12k_lr001,muon_blog,3,5.58317232131958,0.03912518871141654,3,5.342248280843099,0.03433423278226692,3,5.5819862960041435,0.019957470975120448,3,5.554880301157634,0.012742329341854748,3,5.479684495925903,0.014734364084360886,3,1092.6458589235942,41.24724344702292,3,5147.57421875,0.0,3,0.0,0.0,3,1.0,0.0,3,0.30020057547420625,8.68952149678873e-06
wikitext24l_12k_lr001,no_cproj_k,3,5.115395387013753,0.059378950479532636,3,5.00745948155721,0.010720046674619997,3,5.324570648912071,0.003173962305224881,3,5.101596143510606,0.023961115390700043,3,5.101110967000325,0.004656457735305139,3,1213.3341005643208,5.200641612296284,3,6203.6796875,0.09133861680539002,3,905969664.0,0.0,3,0.5714285714285714,0.0,3,0.15662576365179645,2.2889473028952414e-05
wikitext24l_12k_lr001,paper_block4,3,5.39373238881429,0.042346760978723516,3,5.142114798227946,0.013833230236109962,3,5.422156962795533,0.003523115844558488,3,5.34728060828315,0.020877941775784486,3,5.269385369618734,0.005089130246822289,3,1321.424843788147,55.435176307454235,3,7355.78515625,0.09133861680539002,3,2113929216.0,0.0,3,0.0,0.0,3,0.0,0.0
