suite,method,seed,run_name,metric,source_file,row_count,non_null_count,null_fraction,all_observed_finite,first_value,last_value,min_value,max_value
wikitext12l_100m,no_cproj_k,2024,mainconf_reference_lr001_wikitext12l_100m_no_cproj_k_seed2024,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_41_33.205+08_00.csv,611,611,0.0,True,8821.99072265625,9743.52490234375,8821.99072265625,9743.52490234375
owt12l_100m,no_cproj_k,2026,mainconf_reference_lr001_owt12l_100m_no_cproj_k_seed2026,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_41_33.205+08_00.csv,611,611,0.0,True,8820.86572265625,9744.13427734375,8820.86572265625,9744.13427734375
owt12l_100m,no_cproj_k,2025,mainconf_reference_lr001_owt12l_100m_no_cproj_k_seed2025,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_41_33.205+08_00.csv,611,611,0.0,True,8818.86572265625,9737.12158203125,8818.86572265625,9737.12158203125
owt12l_100m,no_cproj_k,2024,mainconf_reference_lr001_owt12l_100m_no_cproj_k_seed2024,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_41_33.205+08_00.csv,611,611,0.0,True,8820.61572265625,9741.63720703125,8820.61572265625,9741.63720703125
wikitext12l_100m,paper_block4,2026,mainconf_reference_lr001_wikitext12l_100m_paper_block4_seed2026,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T12_22_56.085+08_00.csv,611,611,0.0,True,8820.99072265625,10069.49658203125,8820.99072265625,10069.49658203125
owt18l_3k,paper_block4,2026,mainconf_reference_lr001_owt18l_3k_paper_block4_seed2026,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T12_29_51.213+08_00.csv,150,150,0.0,True,5861.40673828125,7588.8671875,5861.40673828125,7588.8671875
owt18l_3k,paper_block4,2025,mainconf_reference_lr001_owt18l_3k_paper_block4_seed2025,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T12_29_51.213+08_00.csv,150,150,0.0,True,5859.90673828125,7583.4970703125,5859.90673828125,7583.4970703125
owt18l_3k,paper_block4,2024,mainconf_reference_lr001_owt18l_3k_paper_block4_seed2024,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T12_37_55.545+08_00.csv,150,150,0.0,True,5860.90673828125,7579.99365234375,5860.90673828125,7579.99365234375
wikitext24l_12k_lr001,paper_block4,2026,mainconf_reference_lr001_wikitext24l_12k_lr001_paper_block4_seed2026,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_16_54.210+08_00.csv,600,600,0.0,True,6942.20556640625,7355.732421875,6942.20556640625,7355.732421875
wikitext24l_12k_lr001,paper_block4,2025,mainconf_reference_lr001_wikitext24l_12k_lr001_paper_block4_seed2025,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_16_54.210+08_00.csv,600,600,0.0,True,6942.36376953125,7355.890625,6942.36376953125,7355.890625
wikitext24l_12k_lr001,paper_block4,2024,mainconf_reference_lr001_wikitext24l_12k_lr001_paper_block4_seed2024,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_16_54.210+08_00.csv,600,600,0.0,True,6942.20556640625,7355.732421875,6942.20556640625,7355.732421875
owt24l_12k,paper_block4,2026,mainconf_reference_lr001_owt24l_12k_paper_block4_seed2026,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_16_54.210+08_00.csv,600,600,0.0,True,6942.20556640625,7355.890625,6942.20556640625,7355.890625
owt24l_12k,paper_block4,2025,mainconf_reference_lr001_owt24l_12k_paper_block4_seed2025,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_16_54.210+08_00.csv,600,600,0.0,True,6942.20556640625,7355.732421875,6942.20556640625,7355.732421875
owt24l_12k,paper_block4,2024,mainconf_reference_lr001_owt24l_12k_paper_block4_seed2024,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_16_54.210+08_00.csv,600,600,0.0,True,6942.20556640625,7355.890625,6942.20556640625,7355.890625
wikitext12l_100m,paper_block4,2025,mainconf_reference_lr001_wikitext12l_100m_paper_block4_seed2025,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_41_33.205+08_00.csv,611,611,0.0,True,8819.61572265625,10071.70263671875,8819.61572265625,10071.70263671875
wikitext12l_100m,paper_block4,2024,mainconf_reference_lr001_wikitext12l_100m_paper_block4_seed2024,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_41_33.205+08_00.csv,611,611,0.0,True,8820.24072265625,10069.35595703125,8820.24072265625,10069.35595703125
owt12l_100m,paper_block4,2026,mainconf_reference_lr001_owt12l_100m_paper_block4_seed2026,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_41_33.205+08_00.csv,611,611,0.0,True,8820.99072265625,10069.49658203125,8820.99072265625,10069.49658203125
owt12l_100m,paper_block4,2025,mainconf_reference_lr001_owt12l_100m_paper_block4_seed2025,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_41_33.205+08_00.csv,611,611,0.0,True,8819.36572265625,10065.9775390625,8819.36572265625,10065.9775390625
owt12l_100m,paper_block4,2024,mainconf_reference_lr001_owt12l_100m_paper_block4_seed2024,cuda/full_run_max_memory_allocated_mib,wandb_export_2026-07-18T13_41_33.205+08_00.csv,611,611,0.0,True,8821.74072265625,10069.3466796875,8821.74072265625,10069.3466796875
wikitext12l_100m,diag_cproj_k,2026,mainconf_reference_lr001_wikitext12l_100m_diag_cproj_k_seed2026,cuda/memory_allocated_mib,wandb_export_2026-07-18T12_22_52.149+08_00.csv,611,611,0.0,True,3495.49169921875,3498.6103515625,3495.49169921875,3503.11376953125
owt18l_3k,diag_cproj_k,2026,mainconf_reference_lr001_owt18l_3k_diag_cproj_k_seed2026,cuda/memory_allocated_mib,wandb_export_2026-07-18T12_29_47.579+08_00.csv,150,150,0.0,True,3224.54248046875,3251.67724609375,3224.16748046875,3252.29736328125
owt18l_3k,diag_cproj_k,2025,mainconf_reference_lr001_owt18l_3k_diag_cproj_k_seed2025,cuda/memory_allocated_mib,wandb_export_2026-07-18T12_29_47.579+08_00.csv,150,150,0.0,True,3233.79248046875,3245.798828125,3233.79248046875,3257.56640625
owt18l_3k,diag_cproj_k,2024,mainconf_reference_lr001_owt18l_3k_diag_cproj_k_seed2024,cuda/memory_allocated_mib,wandb_export_2026-07-18T12_37_51.845+08_00.csv,150,150,0.0,True,3229.41748046875,3247.16748046875,3229.16748046875,3252.04248046875
wikitext24l_12k_lr001,diag_cproj_k,2026,mainconf_reference_lr001_wikitext24l_12k_lr001_diag_cproj_k_seed2026,cuda/memory_allocated_mib,wandb_export_2026-07-18T13_16_49.785+08_00.csv,600,600,0.0,True,4358.44775390625,4358.44775390625,4358.44775390625,4358.76416015625
wikitext24l_12k_lr001,diag_cproj_k,2025,mainconf_reference_lr001_wikitext24l_12k_lr001_diag_cproj_k_seed2025,cuda/memory_allocated_mib,wandb_export_2026-07-18T13_16_49.785+08_00.csv,600,600,0.0,True,4358.44775390625,4358.44775390625,4358.44775390625,4358.60595703125
wikitext24l_12k_lr001,diag_cproj_k,2024,mainconf_reference_lr001_wikitext24l_12k_lr001_diag_cproj_k_seed2024,cuda/memory_allocated_mib,wandb_export_2026-07-18T13_16_49.785+08_00.csv,600,600,0.0,True,4358.44775390625,4358.44775390625,4358.44775390625,4358.60595703125
owt24l_12k,diag_cproj_k,2026,mainconf_reference_lr001_owt24l_12k_diag_cproj_k_seed2026,cuda/memory_allocated_mib,wandb_export_2026-07-18T13_16_49.785+08_00.csv,600,600,0.0,True,4358.44775390625,4358.44775390625,4358.44775390625,4358.60595703125
owt24l_12k,diag_cproj_k,2025,mainconf_reference_lr001_owt24l_12k_diag_cproj_k_seed2025,cuda/memory_allocated_mib,wandb_export_2026-07-18T13_16_49.785+08_00.csv,600,600,0.0,True,4358.44775390625,4358.44775390625,4358.44775390625,4358.76416015625
owt24l_12k,diag_cproj_k,2024,mainconf_reference_lr001_owt24l_12k_diag_cproj_k_seed2024,cuda/memory_allocated_mib,wandb_export_2026-07-18T13_16_49.785+08_00.csv,600,600,0.0,True,4358.44775390625,4358.44775390625,4358.44775390625,4358.60595703125
wikitext12l_100m,diag_cproj_k,2025,mainconf_reference_lr001_wikitext12l_100m_diag_cproj_k_seed2025,cuda/memory_allocated_mib,wandb_export_2026-07-18T13_41_29.938+08_00.csv,611,611,0.0,True,3498.74169921875,3504.74169921875,3498.74169921875,3510.60400390625
wikitext12l_100m,diag_cproj_k,2024,mainconf_reference_lr001_wikitext12l_100m_diag_cproj_k_seed2024,cuda/memory_allocated_mib,wandb_export_2026-07-18T13_41_29.938+08_00.csv,611,611,0.0,True,3496.11669921875,3500.85400390625,3496.11669921875,3502.87646484375
owt12l_100m,diag_cproj_k,2026,mainconf_reference_lr001_owt12l_100m_diag_cproj_k_seed2026,cuda/memory_allocated_mib,wandb_export_2026-07-18T13_41_29.938+08_00.csv,611,611,0.0,True,3495.49169921875,3500.74169921875,3495.49169921875,3505.97900390625
owt12l_100m,diag_cproj_k,2025,mainconf_reference_lr001_owt12l_100m_diag_cproj_k_seed2025,cuda/memory_allocated_mib,wandb_export_2026-07-18T13_41_29.938+08_00.csv,611,611,0.0,True,3492.74169921875,3501.25146484375,3492.74169921875,3503.87646484375
owt12l_100m,diag_cproj_k,2024,mainconf_reference_lr001_owt12l_100m_diag_cproj_k_seed2024,cuda/memory_allocated_mib,wandb_export_2026-07-18T13_41_29.938+08_00.csv,611,611,0.0,True,3492.24169921875,3498.23876953125,3492.24169921875,3504.47900390625
wikitext12l_100m,muon_blog,2026,mainconf_reference_lr001_wikitext12l_100m_muon_blog_seed2026,cuda/memory_allocated_mib,wandb_export_2026-07-18T12_22_52.149+08_00.csv,611,611,0.0,True,1946.47314453125,1946.47314453125,1946.47314453125,1946.47314453125
owt18l_3k,muon_blog,2026,mainconf_reference_lr001_owt18l_3k_muon_blog_seed2026,cuda/memory_allocated_mib,wandb_export_2026-07-18T12_29_47.579+08_00.csv,150,150,0.0,True,1879.62060546875,1879.62060546875,1879.62060546875,1879.62060546875
owt18l_3k,muon_blog,2025,mainconf_reference_lr001_owt18l_3k_muon_blog_seed2025,cuda/memory_allocated_mib,wandb_export_2026-07-18T12_29_47.579+08_00.csv,150,150,0.0,True,1879.62060546875,1879.62060546875,1879.62060546875,1879.62060546875
owt18l_3k,muon_blog,2024,mainconf_reference_lr001_owt18l_3k_muon_blog_seed2024,cuda/memory_allocated_mib,wandb_export_2026-07-18T12_37_51.845+08_00.csv,150,150,0.0,True,1879.62060546875,1879.62060546875,1879.62060546875,1879.62060546875
wikitext24l_12k_lr001,muon_blog,2026,mainconf_reference_lr001_wikitext24l_12k_lr001_muon_blog_seed2026,cuda/memory_allocated_mib,wandb_export_2026-07-18T13_16_49.785+08_00.csv,600,600,0.0,True,3061.69775390625,3061.69775390625,3061.69775390625,3061.69775390625
wikitext24l_12k_lr001,muon_blog,2025,mainconf_reference_lr001_wikitext24l_12k_lr001_muon_blog_seed2025,cuda/memory_allocated_mib,wandb_export_2026-07-18T13_16_49.785+08_00.csv,600,600,0.0,True,3061.69775390625,3061.69775390625,3061.69775390625,3061.69775390625
wikitext24l_12k_lr001,muon_blog,2024,mainconf_reference_lr001_wikitext24l_12k_lr001_muon_blog_seed2024,cuda/memory_allocated_mib,wandb_export_2026-07-18T13_16_49.785+08_00.csv,600,600,0.0,True,3061.69775390625,3061.69775390625,3061.69775390625,3061.69775390625
owt24l_12k,muon_blog,2026,mainconf_reference_lr001_owt24l_12k_muon_blog_seed2026,cuda/memory_allocated_mib,wandb_export_2026-07-18T13_16_49.785+08_00.csv,600,600,0.0,True,3061.69775390625,3061.69775390625,3061.69775390625,3061.69775390625
owt24l_12k,muon_blog,2025,mainconf_reference_lr001_owt24l_12k_muon_blog_seed2025,cuda/memory_allocated_mib,wandb_export_2026-07-18T13_16_49.785+08_00.csv,600,600,0.0,True,3061.69775390625,3061.69775390625,3061.69775390625,3061.69775390625
owt24l_12k,muon_blog,2024,mainconf_reference_lr001_owt24l_12k_muon_blog_seed2024,cuda/memory_allocated_mib,wandb_export_2026-07-18T13_16_49.785+08_00.csv,600,600,0.0,True,3061.69775390625,3061.69775390625,3061.69775390625,3061.69775390625
wikitext12l_100m,muon_blog,2025,mainconf_reference_lr001_wikitext12l_100m_muon_blog_seed2025,cuda/memory_allocated_mib,wandb_export_2026-07-18T13_41_29.938+08_00.csv,611,611,0.0,True,1946.47314453125,1946.47314453125,1946.47314453125,1946.47314453125
wikitext12l_100m,muon_blog,2024,mainconf_reference_lr001_wikitext12l_100m_muon_blog_seed2024,cuda/memory_allocated_mib,wandb_export_2026-07-18T13_41_29.938+08_00.csv,611,611,0.0,True,1946.47314453125,1946.47314453125,1946.47314453125,1946.47314453125
owt12l_100m,muon_blog,2026,mainconf_reference_lr001_owt12l_100m_muon_blog_seed2026,cuda/memory_allocated_mib,wandb_export_2026-07-18T13_41_29.938+08_00.csv,611,611,0.0,True,1946.47314453125,1946.47314453125,1946.47314453125,1946.47314453125
owt12l_100m,muon_blog,2025,mainconf_reference_lr001_owt12l_100m_muon_blog_seed2025,cuda/memory_allocated_mib,wandb_export_2026-07-18T13_41_29.938+08_00.csv,611,611,0.0,True,1946.47314453125,1946.47314453125,1946.47314453125,1946.47314453125
owt12l_100m,muon_blog,2024,mainconf_reference_lr001_owt12l_100m_muon_blog_seed2024,cuda/memory_allocated_mib,wandb_export_2026-07-18T13_41_29.938+08_00.csv,611,611,0.0,True,1946.47314453125,1946.47314453125,1946.47314453125,1946.47314453125
wikitext12l_100m,no_cproj_k,2026,mainconf_reference_lr001_wikitext12l_100m_no_cproj_k_seed2026,cuda/memory_allocated_mib,wandb_export_2026-07-18T12_22_52.149+08_00.csv,611,611,0.0,True,2915.09814453125,2922.08544921875,2914.21044921875,2922.61083984375
owt18l_3k,no_cproj_k,2026,mainconf_reference_lr001_owt18l_3k_no_cproj_k_seed2026,cuda/memory_allocated_mib,wandb_export_2026-07-18T12_29_47.579+08_00.csv,150,150,0.0,True,2792.49560546875,2802.494140625,2792.24560546875,2813.25048828125
owt18l_3k,no_cproj_k,2025,mainconf_reference_lr001_owt18l_3k_no_cproj_k_seed2025,cuda/memory_allocated_mib,wandb_export_2026-07-18T12_29_47.579+08_00.csv,150,150,0.0,True,2792.4892578125,2803.35498046875,2792.4892578125,2810.46728515625
owt18l_3k,no_cproj_k,2024,mainconf_reference_lr001_owt18l_3k_no_cproj_k_seed2024,cuda/memory_allocated_mib,wandb_export_2026-07-18T12_37_51.845+08_00.csv,150,150,0.0,True,2794.9892578125,2810.2265625,2793.9892578125,2810.2265625
wikitext24l_12k_lr001,no_cproj_k,2026,mainconf_reference_lr001_wikitext24l_12k_lr001_no_cproj_k_seed2026,cuda/memory_allocated_mib,wandb_export_2026-07-18T13_16_49.785+08_00.csv,600,600,0.0,True,4165.69775390625,4165.69775390625,4165.69775390625,4165.85595703125
wikitext24l_12k_lr001,no_cproj_k,2025,mainconf_reference_lr001_wikitext24l_12k_lr001_no_cproj_k_seed2025,cuda/memory_allocated_mib,wandb_export_2026-07-18T13_16_49.785+08_00.csv,600,600,0.0,True,4165.69775390625,4165.69775390625,4165.69775390625,4165.69775390625
wikitext24l_12k_lr001,no_cproj_k,2024,mainconf_reference_lr001_wikitext24l_12k_lr001_no_cproj_k_seed2024,cuda/memory_allocated_mib,wandb_export_2026-07-18T13_16_49.785+08_00.csv,600,600,0.0,True,4165.69775390625,4165.69775390625,4165.69775390625,4165.85595703125
