suite,metric,left_method,right_method,comparison,paired_seed_count,left_better_seed_count,mean_paired_delta,std_paired_delta,min_paired_delta,max_paired_delta
wikitext12l_100m,val/loss__tail3_mean,muon_blog,diag_cproj_k,left_minus_right,3,3,-0.03682186868455665,0.0054544328012344516,-0.04283412297566702,-0.032190799713134766
wikitext12l_100m,val/loss__tail3_mean,diag_cproj_k,no_cproj_k,left_minus_right,3,3,-0.003691249423556956,0.0020572321748369192,-0.0054910977681479345,-0.0014487107594809423
wikitext12l_100m,val/loss__tail3_mean,diag_cproj_k,paper_block4,left_minus_right,3,2,-0.0014418231116401319,0.0015436827607265289,-0.0027698675791421046,0.00025184949239065446
wikitext12l_100m,val/loss__tail3_mean,no_cproj_k,paper_block4,left_minus_right,3,0,0.0022494263119168245,0.0012534140426240339,0.0013640721638998876,0.003683646519978989
wikitext24l_12k_lr001,val/loss__tail3_mean,muon_blog,paper_block4,left_minus_right,3,0,0.20759969287448468,0.010569367365141032,0.1977229118347168,0.21874682108561228
wikitext24l_12k_lr001,val/loss__tail3_mean,muon_blog,no_cproj_k,left_minus_right,3,0,0.4532841576470273,0.01752179186334425,0.4429634412129726,0.4735151926676435
wikitext24l_12k_lr001,val/loss__tail3_mean,muon_blog,diag_cproj_k,left_minus_right,3,0,0.49960189395480725,0.02533446129715692,0.48181835810343454,0.5286094347635908
wikitext24l_12k_lr001,val/loss__tail3_mean,diag_cproj_k,no_cproj_k,left_minus_right,3,3,-0.046317736307779946,0.008361534969880902,-0.055094242095947266,-0.03844451904296875
wikitext24l_12k_lr001,val/loss__tail3_mean,diag_cproj_k,paper_block4,left_minus_right,3,3,-0.29200220108032254,0.017226356997701035,-0.3098626136779785,-0.27548901240030954
wikitext24l_12k_lr001,val/loss__tail3_mean,no_cproj_k,paper_block4,left_minus_right,3,3,-0.2456844647725426,0.008870274731181646,-0.25476837158203125,-0.2370444933573408
owt12l_100m,val/loss__noninitial_mean,muon_blog,paper_block4,left_minus_right,3,3,-0.02313648992114607,0.007558944483743325,-0.030798474947611787,-0.015684982140858672
owt12l_100m,val/loss__noninitial_mean,muon_blog,no_cproj_k,left_minus_right,3,3,-0.028599149650997784,0.006335979664646229,-0.03510324160258005,-0.022445857524871826
owt12l_100m,val/loss__noninitial_mean,muon_blog,diag_cproj_k,left_minus_right,3,3,-0.022053778171539012,0.0063077166220943896,-0.028655966122944854,-0.016088922818501494
owt12l_100m,val/loss__noninitial_mean,diag_cproj_k,no_cproj_k,left_minus_right,3,3,-0.0065453714794587725,0.0002522223945112943,-0.006831904252370791,-0.006356934706370332
owt12l_100m,val/loss__noninitial_mean,diag_cproj_k,paper_block4,left_minus_right,3,2,-0.001082711749607057,0.0013258036754072373,-0.0021425088246669333,0.00040394067764282227
owt12l_100m,val/loss__noninitial_mean,no_cproj_k,paper_block4,left_minus_right,3,0,0.0054626597298517154,0.0012340524064698587,0.004304766654968262,0.006760875384013154
owt18l_3k,val/loss__noninitial_mean,muon_blog,paper_block4,left_minus_right,3,1,-0.00026655197143525083,0.005459255749188852,-0.006041812896728338,0.004809284210205433
owt18l_3k,val/loss__noninitial_mean,muon_blog,no_cproj_k,left_minus_right,3,3,-0.006086254119873106,0.002268872921014285,-0.007796478271484553,-0.0035123825073242188
owt18l_3k,val/loss__noninitial_mean,muon_blog,diag_cproj_k,left_minus_right,3,0,0.0032787958780925073,0.0008677500230661925,0.0027317047119144178,0.004279327392578303
owt18l_3k,val/loss__noninitial_mean,diag_cproj_k,no_cproj_k,left_minus_right,3,3,-0.009365049997965613,0.0028821018265647266,-0.012075805664062855,-0.00633773803710902
owt18l_3k,val/loss__noninitial_mean,diag_cproj_k,paper_block4,left_minus_right,3,2,-0.003545347849527758,0.006246521593857789,-0.01032114028930664,0.0019839286804206324
owt18l_3k,val/loss__noninitial_mean,no_cproj_k,paper_block4,left_minus_right,3,0,0.005819702148437855,0.003551587348857979,0.0017546653747562146,0.008321666717529652
