suite,seed,method,run_name,cuda/full_run_max_memory_allocated_mib__count,cuda/full_run_max_memory_allocated_mib__first,cuda/full_run_max_memory_allocated_mib__last,cuda/full_run_max_memory_allocated_mib__min,cuda/full_run_max_memory_allocated_mib__max,cuda/full_run_max_memory_allocated_mib__last_wandb_step,cuda/memory_allocated_mib__count,cuda/memory_allocated_mib__first,cuda/memory_allocated_mib__last,cuda/memory_allocated_mib__min,cuda/memory_allocated_mib__max,cuda/memory_allocated_mib__last_wandb_step,lr/adamw__count,lr/adamw__first,lr/adamw__last,lr/adamw__min,lr/adamw__max,lr/adamw__last_wandb_step,lr/matrix__count,lr/matrix__first,lr/matrix__last,lr/matrix__min,lr/matrix__max,lr/matrix__last_wandb_step,matrix/cproj_k_state_bytes__count,matrix/cproj_k_state_bytes__first,matrix/cproj_k_state_bytes__last,matrix/cproj_k_state_bytes__min,matrix/cproj_k_state_bytes__max,matrix/cproj_k_state_bytes__last_wandb_step,matrix/k_state_bytes__count,matrix/k_state_bytes__first,matrix/k_state_bytes__last,matrix/k_state_bytes__min,matrix/k_state_bytes__max,matrix/k_state_bytes__last_wandb_step,matrix/k_state_released_fraction__count,matrix/k_state_released_fraction__first,matrix/k_state_released_fraction__last,matrix/k_state_released_fraction__min,matrix/k_state_released_fraction__max,matrix/k_state_released_fraction__last_wandb_step,matrix/non_cproj_k_state_bytes__count,matrix/non_cproj_k_state_bytes__first,matrix/non_cproj_k_state_bytes__last,matrix/non_cproj_k_state_bytes__min,matrix/non_cproj_k_state_bytes__max,matrix/non_cproj_k_state_bytes__last_wandb_step,time_elapsed__count,time_elapsed__first,time_elapsed__last,time_elapsed__min,time_elapsed__max,time_elapsed__last_wandb_step,train/loss_step__count,train/loss_step__first,train/loss_step__last,train/loss_step__min,train/loss_step__max,train/loss_step__last_wandb_step,val/loss__count,val/loss__first,val/loss__last,val/loss__min,val/loss__max,val/loss__last_wandb_step,val/loss__tail10_mean,val/loss__tail10_std,val/loss__noninitial_mean,val/loss__tail3_mean,k_state_reduction_vs_block4_fraction,peak_memory_reduction_vs_block4_fraction
owt18l_3k,2024,muon_blog,mainconf_reference_lr001_owt18l_3k_muon_blog_seed2024,150,5426.67236328125,6251.38134765625,5426.67236328125,6251.38134765625,2980,150,1879.62060546875,1879.62060546875,1879.62060546875,1879.62060546875,2980,6,0.0,0.0001644142707245,0.0,0.0009584089388519,2500,6,0.01,0.01,0.01,0.01,2500,,,,,,,150,0.0,0.0,0.0,0.0,2980,,,,,,,,,,,,,150,1.8895127773284912,209.3973355293274,1.8895127773284912,209.3973355293274,2980,150,11.0289306640625,4.957846641540527,4.620911598205566,11.0289306640625,2980,6,11.029446601867676,5.130826473236084,5.130826473236084,11.029446601867676,2500,6.411894639333089,2.287445003486445,5.488384246826172,5.254759947458903,1.0,0.1752788149468556
owt18l_3k,2024,no_cproj_k,mainconf_reference_lr001_owt18l_3k_no_cproj_k_seed2024,150,5861.04736328125,7078.8623046875,5861.04736328125,7078.8623046875,2980,150,2794.9892578125,2810.2265625,2793.9892578125,2810.2265625,2980,6,0.0,0.0001644142707245,0.0,0.0009584089388519,2500,6,0.01,0.01,0.01,0.01,2500,150.0,0.0,0.0,0.0,0.0,2980.0,150,382205952.0,382205952.0,382205952.0,382205952.0,2980,150.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,2980.0,150.0,382205952.0,382205952.0,382205952.0,382205952.0,2980.0,150,1.91765570640564,233.6063551902771,1.91765570640564,233.6063551902771,2980,150,11.0289306640625,4.947317600250244,4.610761642456055,11.0289306640625,2980,6,11.029446601867676,5.119690895080566,5.119690895080566,11.029446601867676,2500,6.417686223983765,2.287269646164372,5.495334148406982,5.250960191090901,0.5714285714285714,0.06611237035815976
owt18l_3k,2024,paper_block4,mainconf_reference_lr001_owt18l_3k_paper_block4_seed2024,150,5860.90673828125,7579.99365234375,5860.90673828125,7579.99365234375,2980,150,3715.87060546875,3731.9912109375,3715.87060546875,3739.4892578125,2980,6,0.0,0.0001644142707245,0.0,0.0009584089388519,2500,6,0.01,0.01,0.01,0.01,2500,150.0,509607936.0,509607936.0,509607936.0,509607936.0,2980.0,150,891813888.0,891813888.0,891813888.0,891813888.0,2980,150.0,0.0,0.0,0.0,0.0,2980.0,150.0,382205952.0,382205952.0,382205952.0,382205952.0,2980.0,150,1.886652946472168,244.26650285720825,1.886652946472168,244.26650285720825,2980,150,11.0289306640625,4.929929733276367,4.58871603012085,11.0289306640625,2980,6,11.029446601867676,5.129712104797363,5.129712104797363,11.029446601867676,2500,6.411533912022908,2.2884536682970236,5.487951374053955,5.24916934967041,0.0,0.0
owt18l_3k,2025,diag_cproj_k,mainconf_reference_lr001_owt18l_3k_diag_cproj_k_seed2025,150,5860.53173828125,7093.9169921875,5860.53173828125,7093.9169921875,2980,150,3233.79248046875,3245.798828125,3233.79248046875,3257.56640625,2980,6,0.0,0.0001644142707245,0.0,0.0009584089388519,2500,6,0.01,0.01,0.01,0.01,2500,150.0,442368.0,442368.0,442368.0,442368.0,2980.0,150,382648320.0,382648320.0,382648320.0,382648320.0,2980,150.0,0.5709325396825397,0.5709325396825397,0.5709325396825397,0.5709325396825397,2980.0,150.0,382205952.0,382205952.0,382205952.0,382205952.0,2980.0,150,1.8609867095947263,240.98739743232727,1.8609867095947263,240.98739743232727,2980,150,10.94482421875,5.366106033325195,4.652552127838135,10.94482421875,2980,6,10.946428298950195,5.091165065765381,5.091165065765381,10.946428298950195,2500,6.377927700678508,2.266605077153172,5.46422758102417,5.208399772644043,0.5709325396825398,0.06455861637259463
owt18l_3k,2025,muon_blog,mainconf_reference_lr001_owt18l_3k_muon_blog_seed2025,150,5426.67236328125,6251.38134765625,5426.67236328125,6251.38134765625,2980,150,1879.62060546875,1879.62060546875,1879.62060546875,1879.62060546875,2980,6,0.0,0.0001644142707245,0.0,0.0009584089388519,2500,6,0.01,0.01,0.01,0.01,2500,,,,,,,150,0.0,0.0,0.0,0.0,2980,,,,,,,,,,,,,150,1.7311222553253174,210.57645845413208,1.7311222553253174,210.57645845413208,2980,150,10.94482421875,5.398876190185547,4.680684566497803,10.94482421875,2980,6,10.946428298950195,5.106774806976318,5.106774806976318,10.946428298950195,2500,6.380282163619995,2.2638506591538072,5.467052936553955,5.219604969024658,1.0,0.17565981898656635
owt18l_3k,2025,no_cproj_k,mainconf_reference_lr001_owt18l_3k_no_cproj_k_seed2025,150,5859.67236328125,7080.39404296875,5859.67236328125,7080.39404296875,2980,150,2792.4892578125,2803.35498046875,2792.4892578125,2810.46728515625,2980,6,0.0,0.0001644142707245,0.0,0.0009584089388519,2500,6,0.01,0.01,0.01,0.01,2500,150.0,0.0,0.0,0.0,0.0,2980.0,150,382205952.0,382205952.0,382205952.0,382205952.0,2980,150.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,2980.0,150.0,382205952.0,382205952.0,382205952.0,382205952.0,2980.0,150,1.944964408874512,232.51203989982605,1.944964408874512,232.51203989982605,2980,150,10.94482421875,5.372715473175049,4.673218250274658,10.94482421875,2980,6,10.946428298950195,5.095600128173828,5.095600128173828,10.946428298950195,2500,6.383209149042766,2.2638037846671106,5.470565319061279,5.21685266494751,0.5714285714285714,0.066341823920955
owt18l_3k,2025,paper_block4,mainconf_reference_lr001_owt18l_3k_paper_block4_seed2025,150,5859.90673828125,7583.4970703125,5859.90673828125,7583.4970703125,2980,150,3714.37060546875,3738.3642578125,3714.37060546875,3743.25048828125,2980,6,0.0,0.0001644142707245,0.0,0.0009584089388519,2500,6,0.01,0.01,0.01,0.01,2500,150.0,509607936.0,509607936.0,509607936.0,509607936.0,2980.0,150,891813888.0,891813888.0,891813888.0,891813888.0,2980,150.0,0.0,0.0,0.0,0.0,2980.0,150.0,382205952.0,382205952.0,382205952.0,382205952.0,2980.0,150,1.8686935901641848,251.2152054309845,1.8686935901641848,251.2152054309845,2980,150,10.94482421875,5.3700385093688965,4.6676130294799805,10.94482421875,2980,6,10.946428298950195,5.087497711181641,5.087497711181641,10.946428298950195,2500,6.376274426778157,2.267401761122386,5.46224365234375,5.207524140675862,0.0,0.0
owt18l_3k,2026,diag_cproj_k,mainconf_reference_lr001_owt18l_3k_diag_cproj_k_seed2026,150,5861.28173828125,7091.53759765625,5861.28173828125,7091.53759765625,2980,150,3224.54248046875,3251.67724609375,3224.16748046875,3252.29736328125,2980,6,0.0,0.0001644142707245,0.0,0.0009584089388519,2500,6,0.01,0.01,0.01,0.01,2500,150.0,442368.0,442368.0,442368.0,442368.0,2980.0,150,382648320.0,382648320.0,382648320.0,382648320.0,2980,150.0,0.5709325396825397,0.5709325396825397,0.5709325396825397,0.5709325396825397,2980.0,150.0,382205952.0,382205952.0,382205952.0,382205952.0,2980.0,150,2.106816053390503,258.0392019748688,2.106816053390503,258.0392019748688,2980,150,10.931777954101562,5.197831153869629,4.720381259918213,10.931777954101562,2980,6,10.940089225769045,5.0533552169799805,5.0533552169799805,10.940089225769045,2500,6.387136618296306,2.2573945686775656,5.476546096801758,5.224572658538818,0.5709325396825398,0.0655341011452838
owt18l_3k,2026,muon_blog,mainconf_reference_lr001_owt18l_3k_muon_blog_seed2026,150,5426.67236328125,6251.38134765625,5426.67236328125,6251.38134765625,2980,150,1879.62060546875,1879.62060546875,1879.62060546875,1879.62060546875,2980,6,0.0,0.0001644142707245,0.0,0.0009584089388519,2500,6,0.01,0.01,0.01,0.01,2500,,,,,,,150,0.0,0.0,0.0,0.0,2980,,,,,,,,,,,,,150,2.727487087249756,221.8948516845703,2.727487087249756,221.8948516845703,2980,150,10.931777954101562,5.207359313964844,4.72039794921875,10.931777954101562,2980,6,10.940089225769045,5.066880702972412,5.066880702972412,10.940089225769045,2500,6.390702724456787,2.2543818154440096,5.480825424194336,5.233647187550862,1.0,0.17624314760005144
owt18l_3k,2026,no_cproj_k,mainconf_reference_lr001_owt18l_3k_no_cproj_k_seed2026,150,5860.54736328125,7080.76123046875,5860.54736328125,7080.76123046875,2980,150,2792.49560546875,2802.494140625,2792.24560546875,2813.25048828125,2980,6,0.0,0.0001644142707245,0.0,0.0009584089388519,2500,6,0.01,0.01,0.01,0.01,2500,150.0,0.0,0.0,0.0,0.0,2980.0,150,382205952.0,382205952.0,382205952.0,382205952.0,2980,150.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,2980.0,150.0,382205952.0,382205952.0,382205952.0,382205952.0,2980.0,150,2.068930149078369,253.529358625412,2.068930149078369,253.529358625412,2980,150,10.931777954101562,5.235640048980713,4.730360984802246,10.931777954101562,2980,6,10.940089225769045,5.070944309234619,5.070944309234619,10.940089225769045,2500,6.397199789683024,2.251863973016492,5.4886219024658205,5.240386803944905,0.5714285714285714,0.06695412430832581
owt18l_3k,2026,paper_block4,mainconf_reference_lr001_owt18l_3k_paper_block4_seed2026,150,5861.40673828125,7588.8671875,5861.40673828125,7588.8671875,2980,150,3720.49560546875,3741.38818359375,3720.49560546875,3746.12060546875,2980,6,0.0,0.0001644142707245,0.0,0.0009584089388519,2500,6,0.01,0.01,0.01,0.01,2500,150.0,509607936.0,509607936.0,509607936.0,509607936.0,2980.0,150,891813888.0,891813888.0,891813888.0,891813888.0,2980,150.0,0.0,0.0,0.0,0.0,2980.0,150.0,382205952.0,382205952.0,382205952.0,382205952.0,2980.0,150,2.164879083633423,296.87140798568726,2.164879083633423,296.87140798568726,2980,150,10.931777954101562,5.191814422607422,4.744891166687012,10.931777954101562,2980,6,10.940089225769045,5.065767765045166,5.065767765045166,10.940089225769045,2500,6.3957375685373945,2.2530894863005035,5.486867237091064,5.234514236450195,0.0,0.0
owt24l_12k,2024,diag_cproj_k,mainconf_reference_lr001_owt24l_12k_diag_cproj_k_seed2024,600,5790.95556640625,6204.482421875,5790.95556640625,6204.482421875,11980,600,4358.44775390625,4358.44775390625,4358.44775390625,4358.60595703125,11980,24,0.0,0.0001,0.0,0.0009584089388519,11500,24,0.01,0.01,0.01,0.01,11500,600.0,786432.0,786432.0,786432.0,786432.0,11980.0,600,906756096.0,906756096.0,906756096.0,906756096.0,11980,600.0,0.5710565476190477,0.5710565476190477,0.5710565476190477,0.5710565476190477,11980.0,600.0,905969664.0,905969664.0,905969664.0,905969664.0,11980.0,600,1.8762414455413816,1383.4922025203705,1.8762414455413816,1383.4922025203705,11980,600,10.97088623046875,5.696460723876953,4.622087478637695,10.97088623046875,11980,24,10.978732109069824,5.633580684661865,5.486119747161865,10.978732109069824,11500,5.632143115997314,0.07869754958360937,5.831961942755657,5.6297607421875,0.5710565476190477,0.15652872803896534
owt24l_12k,2024,muon_blog,mainconf_reference_lr001_owt24l_12k_muon_blog_seed2024,600,4478.20556640625,5147.57421875,4478.20556640625,5147.57421875,11980,600,3061.69775390625,3061.69775390625,3061.69775390625,3061.69775390625,11980,24,0.0,0.0001,0.0,0.0009584089388519,11500,24,0.01,0.01,0.01,0.01,11500,,,,,,,600,0.0,0.0,0.0,0.0,11980,,,,,,,,,,,,,600,1.967520236968994,1237.042274236679,1.967520236968994,1237.042274236679,11980,600,10.97088623046875,6.122370719909668,4.964077949523926,10.97088623046875,11980,24,10.978732109069824,6.066084384918213,5.8878254890441895,10.978732109069824,11500,5.999698638916016,0.0776272540838182,6.079578606978707,6.050732930501302,1.0,0.30021060926935683
owt24l_12k,2024,no_cproj_k,mainconf_reference_lr001_owt24l_12k_no_cproj_k_seed2024,600,5582.20556640625,6203.57421875,5582.20556640625,6203.57421875,11980,600,4165.69775390625,4165.69775390625,4165.69775390625,4165.69775390625,11980,24,0.0,0.0001,0.0,0.0009584089388519,11500,24,0.01,0.01,0.01,0.01,11500,600.0,0.0,0.0,0.0,0.0,11980.0,600,905969664.0,905969664.0,905969664.0,905969664.0,11980,600.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,11980.0,600.0,905969664.0,905969664.0,905969664.0,905969664.0,11980.0,600,2.0384714603424072,1389.7096865177157,2.0384714603424072,1389.7096865177157,11980,600,10.97088623046875,5.723431587219238,4.642142295837402,10.97088623046875,11980,24,10.978732109069824,5.677214622497559,5.528847694396973,10.978732109069824,11500,5.6649833679199215,0.07456468180449254,5.8495161844336465,5.673628171284993,0.5714285714285714,0.1566521941386262
owt24l_12k,2024,paper_block4,mainconf_reference_lr001_owt24l_12k_paper_block4_seed2024,600,6942.20556640625,7355.890625,6942.20556640625,7355.890625,11980,600,5509.69775390625,5509.69775390625,5509.69775390625,5510.01416015625,11980,24,0.0,0.0001,0.0,0.0009584089388519,11500,24,0.01,0.01,0.01,0.01,11500,600.0,1207959552.0,1207959552.0,1207959552.0,1207959552.0,11980.0,600,2113929216.0,2113929216.0,2113929216.0,2113929216.0,11980,600.0,0.0,0.0,0.0,0.0,11980.0,600.0,905969664.0,905969664.0,905969664.0,905969664.0,11980.0,600,1.956964492797852,1417.7592496871948,1.956964492797852,1417.7592496871948,11980,600,10.97088623046875,6.098417282104492,4.769416809082031,10.97088623046875,11980,24,10.978732109069824,5.893817901611328,5.697676658630371,10.978732109069824,11500,5.8109447956085205,0.07759914545120891,5.938059350718623,5.874491214752197,0.0,0.0
owt24l_12k,2025,diag_cproj_k,mainconf_reference_lr001_owt24l_12k_diag_cproj_k_seed2025,600,5790.95556640625,6204.640625,5790.95556640625,6204.640625,11980,600,4358.44775390625,4358.44775390625,4358.44775390625,4358.76416015625,11980,24,0.0,0.0001,0.0,0.0009584089388519,11500,24,0.01,0.01,0.01,0.01,11500,600.0,786432.0,786432.0,786432.0,786432.0,11980.0,600,906756096.0,906756096.0,906756096.0,906756096.0,11980,600.0,0.5710565476190477,0.5710565476190477,0.5710565476190477,0.5710565476190477,11980.0,600.0,905969664.0,905969664.0,905969664.0,905969664.0,11980.0,600,2.096956968307495,1405.7573268413544,2.096956968307495,1405.7573268413544,11980,600,11.03857421875,5.167476177215576,4.572357177734375,11.03857421875,11980,24,11.0159273147583,5.550970554351807,5.478737831115723,11.0159273147583,11500,5.610188674926758,0.10338895301156868,5.823425686877707,5.553924083709717,0.5710565476190477,0.15648907965327852
