contrast_scope,candidate,reference,metric,n_pairs,delta_definition,repeat_0_delta,repeat_1_delta,repeat_2_delta,repeat_3_delta,mean_delta,median_delta,stdev_delta,ci95_lower,ci95_upper,t_critical_df3,repeat_0_relative_pct,repeat_1_relative_pct,repeat_2_relative_pct,repeat_3_relative_pct,mean_relative_pct,relative_ci95_lower_pct,relative_ci95_upper_pct,throughput_band_pct,descriptive_classification
primary,down_diag,newton_full,step_avg_ms,4,candidate_minus_reference_within_repeat,-301.0654248391802,-292.4139732931508,-297.4193664304039,-300.36445040241233,-297.8158037412868,-298.8919084164081,3.932453509579387,-304.0732142121602,-291.5583932704134,3.182446,-3.8892711426586457,-3.782375322312137,-3.847222393143135,-3.884504196849403,-3.8508432637408303,-3.9293940963452068,-3.772292431136454,1.0,candidate_lower_step_avg_ms_outside_descriptive_band
primary,down_diag,newton_full,steps_per_s,4,candidate_minus_reference_within_repeat,0.0052276161258807685,0.005084830604724672,0.005175633381636513,0.00522672016559117,0.005178700069458281,0.0052011767736138415,6.71306963867509e-05,0.005071880161361666,0.005285519977554895,3.182446,4.046656589642095,3.9310628743771447,4.0011557532673825,4.0414962898439155,4.005092876782634,3.920151307870025,4.0900344456952435,1.0,candidate_higher_steps_per_s_outside_descriptive_band
primary,down_diag,newton_full,tokens_per_s,4,candidate_minus_reference_within_repeat,2740.7764034057764,2665.9156680898886,2713.522474391444,2740.3066621774633,2715.130302016143,2726.9145682844537,35.19581854721685,2659.1259060399852,2771.134697992301,3.182446,4.046656589642095,3.9310628743771447,4.0011557532673825,4.0414962898439155,4.005092876782634,3.920151307870025,4.0900344456952435,1.0,candidate_higher_tokens_per_s_outside_descriptive_band
primary,down_diag,newton_full,timed_training_peak_allocated_bytes,4,candidate_minus_reference_within_repeat,-6733289984.0,-6733289984.0,-6733289984.0,-6733289984.0,-6733289984.0,-6733289984.0,0.0,-6733289984.0,-6733289984.0,3.182446,-17.84591078364295,-17.84591078364295,-17.84591078364295,-17.84591078364295,-17.84591078364295,-17.84591078364295,-17.84591078364295,,not_classified_by_throughput_band
primary,down_diag,newton_full,timed_training_peak_reserved_bytes,4,candidate_minus_reference_within_repeat,-6721372160.0,-6721372160.0,-6721372160.0,-6721372160.0,-6721372160.0,-6721372160.0,0.0,-6721372160.0,-6721372160.0,3.182446,-17.344950752245914,-17.344950752245914,-17.344950752245914,-17.344950752245914,-17.344950752245914,-17.344950752245914,-17.344950752245914,,not_classified_by_throughput_band
primary,down_diag,newton_full,k_state_bytes,4,candidate_minus_reference_within_repeat,-4361545728.0,-4361545728.0,-4361545728.0,-4361545728.0,-4361545728.0,-4361545728.0,0.0,-4361545728.0,-4361545728.0,3.182446,-70.64058320596102,-70.64058320596102,-70.64058320596102,-70.64058320596102,-70.64058320596102,-70.64058320596102,-70.64058320596102,,not_classified_by_throughput_band
primary,down_diag,newton_full,optimizer_state_bytes,4,candidate_minus_reference_within_repeat,-4361545728.0,-4361545728.0,-4361545728.0,-4361545728.0,-4361545728.0,-4361545728.0,0.0,-4361545728.0,-4361545728.0,3.182446,-40.98793511056701,-40.98793511056701,-40.98793511056701,-40.98793511056701,-40.98793511056701,-40.98793511056701,-40.98793511056701,,not_classified_by_throughput_band
primary,newton_full,muon,step_avg_ms,4,candidate_minus_reference_within_repeat,418.88754172759946,420.7055189908715,411.48717025498627,402.42825238601654,413.37712083986844,415.18735599129286,8.317046580219388,400.142845029352,426.6113966503849,3.182446,5.720917793240998,5.755004068498515,5.621971180428109,5.490193031037793,5.647021518301354,5.45797693864681,5.836066097955898,1.0,candidate_higher_step_avg_ms_outside_descriptive_band
primary,newton_full,muon,steps_per_s,4,candidate_minus_reference_within_repeat,-0.007390486800222917,-0.007444098899703516,-0.007272214206672928,-0.007100266973008085,-0.0073017667199018615,-0.007331350503447923,0.00015232115315528524,-0.007544143642189074,-0.007059389797614649,3.182446,-5.411339508449453,-5.4418267193966035,-5.322728895888929,-5.204458228095632,-5.345088337957654,-5.514547497581901,-5.175629178333407,1.0,candidate_lower_steps_per_s_outside_descriptive_band
primary,newton_full,muon,tokens_per_s,4,candidate_minus_reference_within_repeat,-3874.743543515273,-3902.851723927757,-3812.734641988136,-3722.5847707444627,-3828.228670043907,-3843.7390927517044,79.86015274547819,-3955.3039818760253,-3701.153358211789,3.182446,-5.411339508449453,-5.4418267193966035,-5.322728895888929,-5.204458228095632,-5.345088337957654,-5.514547497581901,-5.175629178333407,1.0,candidate_lower_tokens_per_s_outside_descriptive_band
primary,newton_full,muon,timed_training_peak_allocated_bytes,4,candidate_minus_reference_within_repeat,9516912128.0,9516912128.0,9516912128.0,9516912128.0,9516912128.0,9516912128.0,0.0,9516912128.0,9516912128.0,3.182446,33.73207334960415,33.73207334960415,33.73207334960415,33.73207334960415,33.73207334960415,33.73207334960415,33.73207334960415,,not_classified_by_throughput_band
primary,newton_full,muon,timed_training_peak_reserved_bytes,4,candidate_minus_reference_within_repeat,9464446976.0,9464446976.0,9464446976.0,9464446976.0,9464446976.0,9464446976.0,0.0,9464446976.0,9464446976.0,3.182446,32.31650554958825,32.31650554958825,32.31650554958825,32.31650554958825,32.31650554958825,32.31650554958825,32.31650554958825,,not_classified_by_throughput_band
primary,newton_full,muon,k_state_bytes,4,candidate_minus_reference_within_repeat,6174277632.0,6174277632.0,6174277632.0,6174277632.0,6174277632.0,6174277632.0,0.0,6174277632.0,6174277632.0,3.182446,,,,,,,,,not_classified_by_throughput_band
primary,newton_full,muon,optimizer_state_bytes,4,candidate_minus_reference_within_repeat,6174277632.0,6174277632.0,6174277632.0,6174277632.0,6174277632.0,6174277632.0,0.0,6174277632.0,6174277632.0,3.182446,138.22689622426574,138.22689622426574,138.22689622426574,138.22689622426574,138.22689622426574,138.22689622426574,138.22689622426574,,not_classified_by_throughput_band
