family,contrast,metric,candidate,comparator,eligible_seeds,n_seeds,mean,sample_sd,ci95_low_t_df3,ci95_high_t_df3,negative_seeds,positive_seeds,zero_seeds,practical_margin,classification,lower_is_better
primary,selective_diag_vs_original,final_val_loss,selective_diag,original_newton_muon,4,4,0.00016486644744873047,0.0016911889956133883,-0.002526192637864885,0.002855925532762346,2,2,0,0.002,ci_spans_both_practical_boundaries,True
primary,selective_diag_vs_original,normalized_auc,selective_diag,original_newton_muon,4,4,0.0016528617667590506,0.0005737379998638482,0.0007399165778251073,0.002565806955692994,0,4,0,,secondary_metric_no_practical_margin,True
primary,selective_diag_vs_original,tail5_mean,selective_diag,original_newton_muon,4,4,0.00023978948593139648,0.0015581874871950028,-0.0022396345198505566,0.0027192134917133496,2,2,0,,secondary_metric_no_practical_margin,True
primary,selective_diag_vs_original,best_val_loss,selective_diag,original_newton_muon,4,4,0.00016486644744873047,0.0016911889956133883,-0.002526192637864885,0.002855925532762346,2,2,0,,secondary_metric_no_practical_margin,True
primary,selective_diag_vs_original,steps_to_target,selective_diag,original_newton_muon,4,4,1.3589914086826411,6.553856391309712,-9.069656620260982,11.787639437626265,2,2,0,,secondary_metric_no_practical_margin,True
primary,selective_diag_vs_original,tokens_to_target,selective_diag,original_newton_muon,4,4,534377.1657565832,2577081.1947652814,-3566334.0975925787,4635088.429105746,2,2,0,,secondary_metric_no_practical_margin,True
benchmark_anchor,original_vs_muon,final_val_loss,original_newton_muon,muon,4,4,-0.0029733777046203613,0.0027688906603253443,-0.007379300630464609,0.001432545221223886,4,0,0,0.002,direction_candidate_better_but_practically_unresolved,True
benchmark_anchor,original_vs_muon,normalized_auc,original_newton_muon,muon,4,4,-0.014829261464707089,0.0022444471058612058,-0.018400677664434064,-0.011257845264980113,4,0,0,,secondary_metric_no_practical_margin,True
benchmark_anchor,original_vs_muon,tail5_mean,original_newton_muon,muon,4,4,-0.003536558151245095,0.002844296941176853,-0.0080624692970349,0.0009893529945447085,4,0,0,,secondary_metric_no_practical_margin,True
benchmark_anchor,original_vs_muon,best_val_loss,original_newton_muon,muon,4,4,-0.0029733777046203613,0.0027688906603253443,-0.007379300630464609,0.001432545221223886,4,0,0,,secondary_metric_no_practical_margin,True
benchmark_anchor,original_vs_muon,steps_to_target,original_newton_muon,muon,4,4,-16.62223915356975,11.760291412019365,-35.335487130193385,2.091008823053887,4,0,0,,secondary_metric_no_practical_margin,True
benchmark_anchor,original_vs_muon,tokens_to_target,original_newton_muon,muon,4,4,-6536130.391010076,4624334.747868601,-13894478.907386107,822218.1253659558,4,0,0,,secondary_metric_no_practical_margin,True
secondary_selective,diag_vs_none,final_val_loss,selective_diag,selective_none,4,4,0.00023919343948364258,0.0008162886343112269,-0.0010597039346710079,0.001538090813638293,2,2,0,0.002,quality_equivalent_within_margin,True
secondary_selective,diag_vs_none,normalized_auc,selective_diag,selective_none,4,4,-0.004865334712650271,0.0003290256210508364,-0.005388887898678818,-0.004341781526621724,4,0,0,,secondary_metric_no_practical_margin,True
secondary_selective,diag_vs_none,tail5_mean,selective_diag,selective_none,4,4,-0.00022336244583132103,0.0007310241756708584,-0.0013865850392999197,0.0009398601476372777,2,2,0,,secondary_metric_no_practical_margin,True
secondary_selective,diag_vs_none,best_val_loss,selective_diag,selective_none,4,4,0.00023919343948364258,0.0008162886343112269,-0.0010597039346710079,0.001538090813638293,2,2,0,,secondary_metric_no_practical_margin,True
secondary_selective,diag_vs_none,steps_to_target,selective_diag,selective_none,4,4,-1.659235118349443,3.2870125996395,-6.889605669922217,3.571135433223331,3,1,0,,secondary_metric_no_practical_margin,True
secondary_selective,diag_vs_none,tokens_to_target,selective_diag,selective_none,4,4,-652437.7962968647,1292505.9463798231,-2709103.1831040685,1404227.590510339,3,1,0,,secondary_metric_no_practical_margin,True
