schema_version,origin,data_replica,event_id,completed_step,layer_count,statistical_unit,relative_k_fro_change_layer_median,relative_k_fro_change_layer_mean,relative_k_fro_change_layer_p90,relative_k_fro_change_layer_max,relative_a_fro_change_layer_median,relative_a_fro_change_layer_mean,relative_a_fro_change_layer_p90,relative_a_fro_change_layer_max,relative_runtime_inverse_fro_change_layer_median,relative_runtime_inverse_fro_change_layer_mean,relative_runtime_inverse_fro_change_layer_p90,relative_runtime_inverse_fro_change_layer_max,matched_g_preconditioned_relative_change_layer_median,matched_g_preconditioned_relative_change_layer_mean,matched_g_preconditioned_relative_change_layer_p90,matched_g_preconditioned_relative_change_layer_max,runtime_ns5_update_relative_change_layer_median,runtime_ns5_update_relative_change_layer_mean,runtime_ns5_update_relative_change_layer_p90,runtime_ns5_update_relative_change_layer_max,condition_proxy_before_layer_median,condition_proxy_before_layer_mean,condition_proxy_before_layer_p90,condition_proxy_before_layer_max,condition_proxy_after_layer_median,condition_proxy_after_layer_mean,condition_proxy_after_layer_p90,condition_proxy_after_layer_max,runtime_resolvent_relative_residual_layer_median,runtime_resolvent_relative_residual_layer_mean,runtime_resolvent_relative_residual_layer_p90,runtime_resolvent_relative_residual_layer_max,matched_g_preconditioned_pooled_fro_ratio,matched_g_preconditioned_pooled_cosine,runtime_ns5_update_pooled_fro_ratio,runtime_ns5_update_pooled_cosine
mdp04_refresh_unit_event_summary_v1,early_newton_full,2,production_refresh_32,32,18,origin_replica; layers are nested repeated measurements,0.40559508299440716,0.4248670340920409,0.678103624639049,0.8780011486673092,0.4082094017660196,0.42705144175361887,0.6785035302614975,0.878024357970743,0.724588073693109,0.6889398522271102,0.7514172472032382,0.7566020911568737,0.86280634343582,0.8577234028195677,0.8757573976188662,0.8797478034775952,0.5842517574861499,0.5722359949344429,0.6012472988543094,0.6080229207838728,3825.52094638172,4611.058164747089,9024.73756516082,13497.53215582163,2345.8885914741845,3578.3366726885083,8212.347766240528,12751.74881882783,0.000545626114656362,0.0007476284785946773,0.001113381911126791,0.002527312059681027,0.8401618857941058,0.7545054180000604,0.5727816846050644,0.8368181500969637
mdp04_refresh_unit_event_summary_v1,early_newton_full,2,delayed_refresh_64,64,18,origin_replica; layers are nested repeated measurements,0.3755704909991925,0.4188783684484545,0.6450339674592004,0.8751651696817003,0.38096026570851727,0.42135264169787423,0.6451056420923768,0.8751986697821825,0.733588941429641,0.6980856447610024,0.7573370571854037,0.761953823300122,0.8632816772448473,0.8529343402530662,0.8756997925932914,0.8823038717349997,0.5587764327840643,0.5491571489592705,0.5874197586897066,0.5936163648800257,3825.538848800462,4611.051390250089,9024.728506524712,13497.56604281358,2353.6891203811374,3554.130781950275,8093.674771671855,12557.287227305478,0.0005441715796863939,0.0007204335104975694,0.001005293683526966,0.0024469826886230886,0.8264679508153716,0.7946176923449871,0.5502885184756025,0.8481318571079778
mdp04_refresh_unit_event_summary_v1,late_muon,0,production_refresh_32,32,18,origin_replica; layers are nested repeated measurements,0.36049098375635913,0.42392401908163485,0.7648745390399175,0.9707811647897534,0.3679513214108002,0.42844528882806315,0.7650313942889166,0.9690391511382626,0.7579679804028014,0.6788287682512704,0.8132513110466876,0.824118119828192,0.8257483096782842,0.7677129235911793,0.8649725557992922,0.8761847133137294,0.533745590208645,0.48793930518635026,0.5647671793093393,0.5762432952018776,1617.9174118419924,6208.758575772266,15938.620827768611,26540.49808459262,1448.6674258019107,5078.882020415561,11849.167670800434,25322.485663698593,0.00044453458055643285,0.0015403790348262208,0.0025494967139957133,0.013790308561673091,0.722916260049693,0.8625355021821989,0.499897177814967,0.8749654930615022
mdp04_refresh_unit_event_summary_v1,late_muon,0,delayed_refresh_64,64,18,origin_replica; layers are nested repeated measurements,0.36322015357699433,0.433320914624395,0.7426408921997985,1.0518017611029693,0.37455496559935025,0.43803878349114556,0.7427337663860528,1.0500337271705693,0.7659896284290882,0.6860246231765726,0.8170694596289771,0.8261316884625869,0.8279314333888427,0.7747397305915276,0.8648309126433958,0.8760432553591329,0.5214290687651509,0.4793209710407559,0.5503757424213759,0.563088167042887,1617.8967714043952,6208.746153609547,15938.647747242434,26540.22747143355,1402.2176883995867,5045.663330801442,11847.974675428024,25248.115404774042,0.0004209264874722576,0.0013189918580119725,0.0023303366929834776,0.01045152685153086,0.7376988370264669,0.8579257827151249,0.49041998141471066,0.8796357103805051
mdp04_refresh_unit_event_summary_v1,late_muon,1,production_refresh_32,32,18,origin_replica; layers are nested repeated measurements,0.26424923326001704,0.3538571504935625,0.611275178370087,0.8925119327949907,0.26911831999370395,0.35749300390543237,0.6124391214205114,0.8926542067360475,0.7850738720071442,0.6957877773536683,0.8196865274020277,0.8255870808009801,0.8532384327818912,0.7929312528190421,0.8743100851660308,0.8781858201990558,0.5528197388367764,0.5050904610235446,0.5761261801059485,0.5803985823416105,2987.3118219304733,6760.094214064243,15352.237604008287,26471.979941358462,1596.6574487032847,5038.3708285773355,11024.020848494241,25148.97233258967,0.0004432466631724536,0.0016040834566839585,0.002150312468633911,0.014926732286117244,0.7493602385842205,0.8358343679894923,0.5158789809388016,0.8669036641489695
mdp04_refresh_unit_event_summary_v1,late_muon,1,delayed_refresh_64,64,18,origin_replica; layers are nested repeated measurements,0.282782801237944,0.379341172787776,0.6849763913583031,0.9055415985901113,0.290580692252559,0.38312761216011054,0.6852310575418181,0.90568199603501,0.7907821826654475,0.7053297044016696,0.8220821805151526,0.8296332478731783,0.8611403896165768,0.8026693887112062,0.878171763682293,0.8813959251083495,0.5432564164322511,0.4950926160245463,0.5574019876433085,0.5606339831365987,2987.3209108750616,6760.115345153318,15352.273822052037,26472.333121780044,1530.5950427813088,5019.4602408690735,11298.716575504617,25042.26028567217,0.0004683662691085036,0.001475389377426555,0.0023259576368363,0.012662116361860449,0.7644650635181446,0.8298108526384094,0.5050541803995119,0.8723299845892976
mdp04_refresh_unit_event_summary_v1,late_muon,2,production_refresh_32,32,18,origin_replica; layers are nested repeated measurements,0.3561580675220027,0.3813119593929768,0.7264074758943404,0.8522578437600067,0.36843728105153106,0.3857008309760852,0.726615364779287,0.8522991321894752,0.7617413889800722,0.6784076151840691,0.8031461233771396,0.8116025692504572,0.8338083482247041,0.7693260112433431,0.8577851702202739,0.8627247651448766,0.5481223615968527,0.49382891707424076,0.5664949407204485,0.5700553755211364,2398.4952605574754,6420.111546853342,16695.68910489514,26559.250222183473,1869.6023299373096,5134.865923542609,12591.25386182929,25383.031647261654,0.000428104572548692,0.0013084820223159513,0.0020262262642889717,0.011105126678089935,0.7243914471317724,0.8594703424053548,0.5064882262906523,0.8717292778317093
mdp04_refresh_unit_event_summary_v1,late_muon,2,delayed_refresh_64,64,18,origin_replica; layers are nested repeated measurements,0.3641824780089341,0.3981235281414934,0.7178780990721202,0.9712739143234848,0.3771226840989058,0.40267246376235366,0.7180903263787342,0.9712636087265035,0.7639949205240683,0.6844798137724206,0.8070407718843816,0.815434687865699,0.8343518728126436,0.7730648468644015,0.8603334683105888,0.8654183272694126,0.5339945612223318,0.47908761570844643,0.5451018530092036,0.5476060862006793,2398.4979748158858,6420.118831311198,16695.730248972937,26559.285536289455,1858.470330560499,5181.731188317929,12771.561390171091,25313.16777549412,0.00042566002820048715,0.0012143345344320271,0.0023636312806439978,0.0087025780816412,0.733036362413625,0.857288661723948,0.4909723466791102,0.8793737106823735
mdp04_refresh_unit_event_summary_v1,late_newton_full,0,production_refresh_32,32,18,origin_replica; layers are nested repeated measurements,0.5235945459262618,0.4644837683518316,0.8187830588208536,1.1353710034337985,0.5255562488169232,0.46524984083363474,0.8191635575607759,1.135365387287741,0.6464397184295438,0.5949886584017756,0.750850096722091,0.7585315559727834,0.7987484064982477,0.7565188200464243,0.8573629850730496,0.8622030768723122,0.4972446603325217,0.46303175313959627,0.556027989163977,0.562689902973015,7030.0147373032505,10421.063547024265,22471.3040675796,26333.793280350656,4959.068343752176,8844.773468715302,20421.709265988236,25219.27016781905,0.0008776139798637678,0.0022289375104358926,0.006735931373459897,0.011970617021522901,0.7499741196847067,0.8179452980360323,0.47664918226312974,0.8861956255973616
mdp04_refresh_unit_event_summary_v1,late_newton_full,0,delayed_refresh_64,64,18,origin_replica; layers are nested repeated measurements,0.48204564779192033,0.4530448216552445,0.7877434886437534,1.1628985672170253,0.4834879180358661,0.4538464358920855,0.788163314866102,1.162893533696878,0.6583364299850955,0.6013434550813905,0.7548890365264959,0.7597529439360363,0.8005395174301583,0.754405371879522,0.8550273627403145,0.868621841218202,0.48630772359077046,0.45082827394524055,0.5366649790780906,0.5441168068182776,7030.084730349505,10421.068201568476,22471.274460860288,26333.81314941895,4771.365665649735,8764.531596761779,20270.17616357901,25127.50051627284,0.000868410116782763,0.0017459998374201823,0.0059007066183886046,0.006706781283406429,0.7553063487549571,0.820762776128836,0.4635955330252233,0.892361025805255
mdp04_refresh_unit_event_summary_v1,late_newton_full,1,production_refresh_32,32,18,origin_replica; layers are nested repeated measurements,0.46683913055676907,0.4198664657715095,0.707555943944538,0.7587297876662307,0.46814592913068426,0.4208216369354336,0.707862358043245,0.7587318558307955,0.6906268222010119,0.6218893178301171,0.7910907382011145,0.8002847832571448,0.8550811313269929,0.8086048308297105,0.8935459635670591,0.8992014274080439,0.5379904103017059,0.49273406114886004,0.5933823307636129,0.5978056554573462,7367.714557561283,11114.721072703314,22013.423816192113,26166.69330831874,4363.341104609259,8736.488862773105,20645.34363781745,24932.51480590389,0.0009426156153105755,0.0019891292838255387,0.006465126887423204,0.007426790539113986,0.8126998764908776,0.7326235005439544,0.5056092438840237,0.8718753150985703
mdp04_refresh_unit_event_summary_v1,late_newton_full,1,delayed_refresh_64,64,18,origin_replica; layers are nested repeated measurements,0.48937782869024443,0.43886435624383047,0.7281336895269913,0.7775023063318446,0.49194253465400894,0.4398777402582192,0.7284485803574368,0.7775045428336106,0.7008988966431193,0.6334290785227321,0.7951430028774411,0.8041542112653025,0.8548122052520453,0.8040274284120841,0.8958534159026219,0.8990423905607702,0.5271798412783216,0.4803382425966389,0.5707656301017794,0.5739022187915661,7367.571708625983,11114.693369616116,22013.400191779456,26166.578849349862,4417.155400379459,8692.365783491528,20573.36040868397,24864.849434951037,0.0009502993913754772,0.0021263636131823886,0.006632804156597942,0.008524369939238939,0.8031784129515502,0.7581026075642844,0.4918745696657224,0.8787253564642891
mdp04_refresh_unit_event_summary_v1,late_newton_full,2,production_refresh_32,32,18,origin_replica; layers are nested repeated measurements,0.44641917297719763,0.3878131881028628,0.6469252477320679,0.776782257430893,0.44746077795273276,0.3886423991743156,0.6487543021427129,0.7767792843408924,0.643435094018842,0.5820852431159768,0.7596674102577486,0.7619107401183292,0.8058810869272817,0.7442298441581368,0.8650972778123917,0.8694372244569599,0.5066785732561746,0.4599085450822444,0.566107051158505,0.5683174341906991,7844.4759283549965,10920.895096995844,21894.62308763709,26245.743806088383,4760.507588886918,9010.010137620293,21174.826798499336,25164.7844322045,0.0007918123029361511,0.0017248857257466353,0.005375536613564653,0.00731330759786765,0.7358794103179906,0.8228143569466663,0.4752519597757745,0.8868921484025136
mdp04_refresh_unit_event_summary_v1,late_newton_full,2,delayed_refresh_64,64,18,origin_replica; layers are nested repeated measurements,0.4467488724511788,0.3837156720222102,0.6285923835547913,0.7813328732118408,0.44778878954202295,0.38460966758513493,0.6305029913900628,0.7813293778123452,0.6473343397350486,0.5870772850804218,0.7637930286234641,0.7648951031512032,0.8047593416369963,0.7451931048047158,0.864241143482481,0.8656112464087752,0.49405245974058287,0.44636304726549597,0.546748307051767,0.5507969063275475,7844.268327708405,10920.874762063891,21894.83889024506,26245.6800893803,4753.84179738915,8957.157189720476,21074.45814767258,25128.121301168798,0.0008722931321576708,0.0018478338252056426,0.005683115335783294,0.007994418753120312,0.7406004446724911,0.8216825323220689,0.4604266700575178,0.8938365788736179
