run_name,budget_id,method,seed,receipt_uploaded,lr/backup_expected_points,lr/backup_observed_points,lr/backup_matched_points,lr/backup_missing_points,lr/backup_unexpected_points,lr/backup_mismatched_points,lr/backup_endpoint_observed,lr/backup_endpoint_expected,lr/backup_endpoint_match,lr/matrix_expected_points,lr/matrix_observed_points,lr/matrix_matched_points,lr/matrix_missing_points,lr/matrix_unexpected_points,lr/matrix_mismatched_points,lr/matrix_endpoint_observed,lr/matrix_endpoint_expected,lr/matrix_endpoint_match,tokens/per_parameter_expected_points,tokens/per_parameter_observed_points,tokens/per_parameter_matched_points,tokens/per_parameter_missing_points,tokens/per_parameter_unexpected_points,tokens/per_parameter_mismatched_points,tokens/per_parameter_endpoint_observed,tokens/per_parameter_endpoint_expected,tokens/per_parameter_endpoint_match,tokens/seen_expected_points,tokens/seen_observed_points,tokens/seen_matched_points,tokens/seen_missing_points,tokens/seen_unexpected_points,tokens/seen_mismatched_points,tokens/seen_endpoint_observed,tokens/seen_endpoint_expected,tokens/seen_endpoint_match,train/loss_step_expected_points,train/loss_step_observed_points,train/loss_step_matched_points,train/loss_step_missing_points,train/loss_step_unexpected_points,train/loss_step_mismatched_points,train/loss_step_endpoint_observed,train/loss_step_endpoint_expected,train/loss_step_endpoint_match,val/loss_expected_points,val/loss_observed_points,val/loss_matched_points,val/loss_missing_points,val/loss_unexpected_points,val/loss_mismatched_points,val/loss_endpoint_observed,val/loss_endpoint_expected,val/loss_endpoint_match,all_endpoint_metrics_match,all_trajectory_points_match
ex48_tokens_6p9694b_newton_full_seed2024,tokens_6p9694b,newton_full,2024,true,667,667,667,0,0,0,2e-06,2e-06,true,667,667,667,0,0,0,5.55555555556e-06,5.55555555556e-06,true,667,667,667,0,0,0,6.87523587479,6.87523587479,true,667,667,667,0,0,0,6969360384,6969360384,true,665,665,665,0,0,0,2.768119335,2.768119335,true,135,135,135,0,0,0,2.864132166,2.864132166,true,true,true
ex48_tokens_6p9694b_newton_full_seed2025,tokens_6p9694b,newton_full,2025,true,667,667,667,0,0,0,2e-06,2e-06,true,667,667,667,0,0,0,5.55555555556e-06,5.55555555556e-06,true,667,667,667,0,0,0,6.87523587479,6.87523587479,true,667,667,667,0,0,0,6969360384,6969360384,true,665,665,665,0,0,0,2.774601936,2.774601936,true,135,135,135,0,0,0,2.863984823,2.863984823,true,true,true
ex48_tokens_6p9694b_newton_full_seed2026,tokens_6p9694b,newton_full,2026,true,667,667,667,0,0,0,2e-06,2e-06,true,667,667,667,0,0,0,5.55555555556e-06,5.55555555556e-06,true,667,667,667,0,0,0,6.87523587479,6.87523587479,true,667,667,667,0,0,0,6969360384,6969360384,true,665,665,665,0,0,0,2.773110628,2.773110628,true,135,135,135,0,0,0,2.863923788,2.863923788,true,true,true
ex48_tokens_approximately_10b_down_diag_seed2024,tokens_approximately_10b,down_diag,2024,true,957,957,957,0,0,0,2e-06,2e-06,true,957,957,957,0,0,0,5.55555555556e-06,5.55555555556e-06,true,957,957,957,0,0,0,9.86469373654,9.86469373654,true,957,957,957,0,0,0,9999745024,9999745024,true,954,954,954,0,0,0,2.940485001,2.940485001,true,194,194,194,0,0,0,2.819347858,2.819347858,true,true,true
ex48_tokens_approximately_10b_down_diag_seed2025,tokens_approximately_10b,down_diag,2025,true,957,957,957,0,0,0,2e-06,2e-06,true,957,957,957,0,0,0,5.55555555556e-06,5.55555555556e-06,true,957,957,957,0,0,0,9.86469373654,9.86469373654,true,957,957,957,0,0,0,9999745024,9999745024,true,954,954,954,0,0,0,2.94258523,2.94258523,true,194,194,194,0,0,0,2.817902803,2.817902803,true,true,true
ex48_tokens_approximately_10b_down_diag_seed2026,tokens_approximately_10b,down_diag,2026,true,957,957,957,0,0,0,2e-06,2e-06,true,957,957,957,0,0,0,5.55555555556e-06,5.55555555556e-06,true,957,957,957,0,0,0,9.86469373654,9.86469373654,true,957,957,957,0,0,0,9999745024,9999745024,true,954,954,954,0,0,0,2.949372292,2.949372292,true,194,194,194,0,0,0,2.817095995,2.817095995,true,true,true
ex48_tokens_approximately_10b_down_none_seed2024,tokens_approximately_10b,down_none,2024,true,957,957,957,0,0,0,2e-06,2e-06,true,957,957,957,0,0,0,5.55555555556e-06,5.55555555556e-06,true,957,957,957,0,0,0,9.86469373654,9.86469373654,true,957,957,957,0,0,0,9999745024,9999745024,true,954,954,954,0,0,0,2.94499898,2.94499898,true,194,194,194,0,0,0,2.818157911,2.818157911,true,true,true
ex48_tokens_approximately_10b_down_none_seed2025,tokens_approximately_10b,down_none,2025,true,957,957,957,0,0,0,2e-06,2e-06,true,957,957,957,0,0,0,5.55555555556e-06,5.55555555556e-06,true,957,957,957,0,0,0,9.86469373654,9.86469373654,true,957,957,957,0,0,0,9999745024,9999745024,true,954,954,954,0,0,0,2.94377327,2.94377327,true,194,194,194,0,0,0,2.817942858,2.817942858,true,true,true
ex48_tokens_approximately_10b_down_none_seed2026,tokens_approximately_10b,down_none,2026,true,957,957,957,0,0,0,2e-06,2e-06,true,957,957,957,0,0,0,5.55555555556e-06,5.55555555556e-06,true,957,957,957,0,0,0,9.86469373654,9.86469373654,true,957,957,957,0,0,0,9999745024,9999745024,true,954,954,954,0,0,0,2.942157269,2.942157269,true,194,194,194,0,0,0,2.817266226,2.817266226,true,true,true
ex48_tokens_approximately_10b_muon_seed2024,tokens_approximately_10b,muon,2024,true,957,957,957,0,0,0,2e-06,2e-06,true,957,957,957,0,0,0,5.55555555556e-06,5.55555555556e-06,true,957,957,957,0,0,0,9.86469373654,9.86469373654,true,957,957,957,0,0,0,9999745024,9999745024,true,954,954,954,0,0,0,2.935526848,2.935526848,true,194,194,194,0,0,0,2.814094067,2.814094067,true,true,true
ex48_tokens_approximately_10b_muon_seed2025,tokens_approximately_10b,muon,2025,true,957,957,957,0,0,0,2e-06,2e-06,true,957,957,957,0,0,0,5.55555555556e-06,5.55555555556e-06,true,957,957,957,0,0,0,9.86469373654,9.86469373654,true,957,957,957,0,0,0,9999745024,9999745024,true,954,954,954,0,0,0,2.936231613,2.936231613,true,194,194,194,0,0,0,2.813876867,2.813876867,true,true,true
ex48_tokens_approximately_10b_muon_seed2026,tokens_approximately_10b,muon,2026,true,957,957,957,0,0,0,2e-06,2e-06,true,957,957,957,0,0,0,5.55555555556e-06,5.55555555556e-06,true,957,957,957,0,0,0,9.86469373654,9.86469373654,true,957,957,957,0,0,0,9999745024,9999745024,true,954,954,954,0,0,0,2.93939209,2.93939209,true,194,194,194,0,0,0,2.814232588,2.814232588,true,true,true
ex48_tokens_approximately_10b_newton_full_seed2024,tokens_approximately_10b,newton_full,2024,true,957,957,957,0,0,0,2e-06,2e-06,true,957,957,957,0,0,0,5.55555555556e-06,5.55555555556e-06,true,957,957,957,0,0,0,9.86469373654,9.86469373654,true,957,957,957,0,0,0,9999745024,9999745024,true,954,954,954,0,0,0,2.9489851,2.9489851,true,194,194,194,0,0,0,2.818579674,2.818579674,true,true,true
ex48_tokens_approximately_10b_newton_full_seed2025,tokens_approximately_10b,newton_full,2025,true,957,957,957,0,0,0,2e-06,2e-06,true,957,957,957,0,0,0,5.55555555556e-06,5.55555555556e-06,true,957,957,957,0,0,0,9.86469373654,9.86469373654,true,957,957,957,0,0,0,9999745024,9999745024,true,954,954,954,0,0,0,2.942296267,2.942296267,true,194,194,194,0,0,0,2.818570375,2.818570375,true,true,true
ex48_tokens_approximately_10b_newton_full_seed2026,tokens_approximately_10b,newton_full,2026,true,957,957,957,0,0,0,2e-06,2e-06,true,957,957,957,0,0,0,5.55555555556e-06,5.55555555556e-06,true,957,957,957,0,0,0,9.86469373654,9.86469373654,true,957,957,957,0,0,0,9999745024,9999745024,true,954,954,954,0,0,0,2.946664095,2.946664095,true,194,194,194,0,0,0,2.818972588,2.818972588,true,true,true
