learning_rate,seed,method,method_label,last_common_val_step,last_common_val_tokens,final_val_loss,best_val_loss,best_val_step,final_minus_best_val,late_val_mean_10000_11500,normalized_val_auc,final_train_eval_loss,last_train_loss_step,tail50_train_loss_mean,current_memory_mib,peak_memory_mib,k_state_mib,full_k_state_mib,k_state_released_mib,k_state_released_fraction,final_val_delta_vs_newton,final_val_delta_vs_muon,peak_memory_saved_vs_newton_mib
0.01,2026,selective_middle,Selective-Middle (release56),11500,11776000,4.9724955558776855,4.833096504211426,10500,0.13939905166625977,4.965740323066711,5.381531995275746,4.919673919677734,11980,5.013323888778687,5765.69775390625,7740.20703125,2400.0,5472.0,3072.0,0.5614035087719298,-0.028072357177734375,-0.2756009101867676,3071.68359375
0.01,2026,selective_all,Selective-All-c_proj (release84),11500,11776000,4.958630561828613,4.821727752685547,10500,0.1369028091430664,4.95000946521759,5.371789268825365,4.896271705627441,11980,4.985940952301025,4165.69775390625,6203.57421875,864.0,5472.0,4608.0,0.8421052631578947,-0.04193735122680664,-0.28946590423583984,4608.31640625
0.02,2024,muon,Muon,11500,11776000,6.362026214599609,5.956167697906494,5000,0.40585851669311523,6.322948217391968,6.256595528644064,6.433882236480713,11980,6.561516485214233,3061.69775390625,5147.57421875,0.0,0.0,0.0,0.0,-0.5363397598266602,0.0,5664.158203125
0.02,2024,newton,Newton-Muon,11500,11776000,6.8983659744262695,5.9366655349731445,2000,0.961700439453125,6.876433610916138,6.59236478805542,6.9400177001953125,11980,7.105541696548462,8965.69775390625,10811.732421875,5472.0,5472.0,0.0,0.0,0.0,0.5363397598266602,0.0
0.02,2024,selective_middle,Selective-Middle (release56),11500,11776000,6.773344993591309,5.928150177001953,2000,0.8451948165893555,6.730166077613831,6.480066548223081,6.826566219329834,11980,6.993531913757324,5765.69775390625,7739.890625,2400.0,5472.0,3072.0,0.5614035087719298,-0.12502098083496094,0.4113187789916992,3071.841796875
0.02,2024,selective_all,Selective-All-c_proj (release84),11500,11776000,6.501173496246338,5.855635166168213,3500,0.645538330078125,6.456768155097961,6.253606288329415,6.58462381362915,11980,6.742250890731811,4165.69775390625,6203.57421875,864.0,5472.0,4608.0,0.8421052631578947,-0.39719247817993164,0.13914728164672852,4608.158203125
0.02,2025,muon,Muon,11500,11776000,6.396073341369629,5.850617408752441,3500,0.5454559326171875,6.366610050201416,6.251251158506974,6.445380210876465,11980,6.519383554458618,3061.69775390625,5147.57421875,0.0,0.0,0.0,0.0,-0.49735069274902344,0.0,5664.31640625
0.02,2025,newton,Newton-Muon,11500,11776000,6.893424034118652,5.9842329025268555,1500,0.9091911315917969,6.89593231678009,6.600204136060632,6.9719557762146,11980,7.101190719604492,8965.85595703125,10811.890625,5472.0,5472.0,0.0,0.0,0.0,0.49735069274902344,0.0
0.02,2025,selective_middle,Selective-Middle (release56),11500,11776000,6.7758469581604,5.9430437088012695,3500,0.8328032493591309,6.75720477104187,6.469655420469201,6.838176727294922,11980,6.966508693695069,5765.69775390625,7740.048828125,2400.0,5472.0,3072.0,0.5614035087719298,-0.11757707595825195,0.3797736167907715,3071.841796875
0.02,2025,selective_all,Selective-All-c_proj (release84),11500,11776000,6.517779350280762,5.759336948394775,3500,0.7584424018859863,6.486022472381592,6.252831085868504,6.57492208480835,11980,6.705329694747925,4165.69775390625,6203.732421875,864.0,5472.0,4608.0,0.8421052631578947,-0.3756446838378906,0.12170600891113281,4608.158203125
0.02,2026,muon,Muon,11500,11776000,6.379143714904785,5.880638599395752,3000,0.4985051155090332,6.381132245063782,6.259175839631454,6.297273635864258,11980,6.504367523193359,3061.69775390625,5147.57421875,0.0,0.0,0.0,0.0,-0.5454006195068359,0.0,5664.31640625
0.02,2026,newton,Newton-Muon,11500,11776000,6.924544334411621,5.954995155334473,3000,0.9695491790771484,6.913183093070984,6.610862711201543,6.850762844085693,11980,7.06015606880188,8965.69775390625,10811.890625,5472.0,5472.0,0.0,0.0,0.0,0.5454006195068359,0.0
0.02,2026,selective_middle,Selective-Middle (release56),11500,11776000,6.788289546966553,5.921298027038574,3000,0.8669915199279785,6.792333245277405,6.49023347315581,6.714548587799072,11980,6.944670400619507,5765.69775390625,7739.890625,2400.0,5472.0,3072.0,0.5614035087719298,-0.13625478744506836,0.4091458320617676,3072.0
0.02,2026,selective_all,Selective-All-c_proj (release84),11500,11776000,6.5639967918396,5.766268730163574,3000,0.7977280616760254,6.52212131023407,6.253179767857427,6.490813255310059,11980,6.712570552825928,4165.69775390625,6203.57421875,864.0,5472.0,4608.0,0.8421052631578947,-0.3605475425720215,0.18485307693481445,4608.31640625
